bdata76,bdata62,cdata70,bdata94,cdata25,bdata6,cdata81,cdata53,ndata52,ndata89,ndata73,cdata52,bdata72,cdata1,bdata81,bdata3,bdata14,cdata67,cdata88,ndata99,cdata48,bdata12,bdata11,cdata29,bdata4,bdata45,ndata51,bdata83,ndata60,bdata10,cdata90,bdata30,bdata87,cdata12,cdata100,ndata46,bdata2,ndata69,ndata39,bdata75,bdata84,ndata15,ndata84,cdata95,ndata34,cdata10,ndata93,bdata82,bdata25,bdata26,ndata81,ndata85,bdata92,bdata44,bdata18,ndata42,ndata75,ndata65,cdata28,cdata11,bdata80,ndata96,ndata45,ndata23,bdata39,cdata37,bdata59,ndata22,ndata77,cdata15,cdata93,cdata75,bdata37,cdata9,bdata69,ndata26,ndata97,cdata49,ndata86,cdata8,bdata57,bdata27,cdata43,cdata62,ndata25,ndata24,bdata91,bdata23,bdata22,cdata34,cdata84,cdata20,cdata97,cdata14,bdata28,ndata31,ndata79,cdata55,cdata64,ndata37,ndata5,bdata77,ndata68,ndata94,bdata90,cdata30,cdata61,bdata17,ndata40,bdata100,cdata71,bdata71,cdata38,bdata78,bdata98,bdata61,bdata68,ndata4,ndata1,cdata80,ndata67,ndata100,ndata49,cdata17,bdata16,bdata47,bdata7,bdata93,cdata69,bdata21,ndata78,cdata79,cdata78,cdata85,ndata88,cdata82,cdata63,ndata16,ndata87,cdata73,cdata13,bdata36,ndata59,ndata33,bdata63,cdata35,cdata45,cdata2,ndata80,ndata18,ndata9,bdata43,cdata47,ndata28,cdata76,bdata89,bdata79,bdata56,ndata55,ndata83,cdata3,ndata66,cdata96,ndata70,ndata61,cdata56,ndata6,ndata53,cdata99,ndata8,ndata47,bdata41,ndata71,bdata48,cdata36,cdata83,cdata5,cdata33,bdata73,cdata16,ndata14,bdata46,ndata57,ndata98,cdata26,ndata38,cdata86,ndata63,ndata19,bdata66,cdata50,ndata90,bdata97,cdata23,ndata21,ndata20,cdata98,cdata91,bdata52,bdata58,bdata9,bdata15,bdata29,bdata74,cdata24,ndata74,bdata88,ndata92,ndata41,ndata91,bdata86,bdata19,cdata41,cdata39,bdata49,cdata22,bdata70,ndata56,bdata51,ndata64,ndata58,bdata38,cdata6,ndata35,bdata65,ndata29,bdata60,bdata64,bdata5,ndata3,bdata54,ndata76,cdata18,ndata32,cdata21,bdata53,cdata44,bdata1,ndata95,bdata95,cdata77,cdata68,ndata44,bdata42,cdata7,bdata8,ndata48,bdata13,ndata36,cdata72,cdata92,cdata58,cdata60,bdata67,bdata20,cdata27,cdata4,bdata40,cdata89,cdata54,bdata96,cdata51,ndata72,bdata33,ndata10,bdata31,bdata35,bdata24,bdata55,ndata27,cdata42,ndata54,bdata99,ndata50,bdata34,cdata94,cdata40,cdata87,ndata62,ndata7,ndata2,cdata74,cdata31,ndata43,cdata57,bdata32,ndata82,cdata65,ndata11,ndata30,bdata85,cdata59,cdata19,ndata17,cdata66,cdata32,cdata46,ndata13,ndata12,bdata50
1,1,three,1,three,1,three,three,0,0,0,three,1,three,1,1,1,three,three,0,three,1,1,three,1,1,0,1,0,1,one,0,1,six,two,0.215169296236424,0,0.0126049490160265,0.870504621181305,1,0,0.262621535359258,0.595699759307086,one,0.336082313676826,four,0.519640247538521,0,0,0,0.988395496476512,0.518883289234869,1,1,1,0.7764463293393,0.877466894390325,0.321362844998945,three,seven,0,0.361778823493916,0.800136964482772,0.203417834471741,1,one,0,0.610792099927199,0.620087656836856,three,four,two,1,five,1,0.142250689412187,0.1509309041155,two,0.135970399369622,two,1,0,four,one,0.490717401808194,0.588855306339995,1,1,1,five,three,two,seven,three,0,0.173039078104008,0.0599864881353002,two,two,0.600556686048371,0.234784865105731,1,0.947744427066632,0.782700405744702,1,three,six,0,0.658009605412405,0,four,1,five,1,0,1,0,0.543468738675453,0.962933723715138,three,0.773769264873817,0.718817019782292,0.793795053114842,eight,1,0,1,0,four,0,0.936673887733263,two,six,four,0.943167579121666,seven,five,0.740999915675818,0.996917116588841,four,one,1,0.414869487435756,0.198976653215084,1,two,seven,two,0.0083241706761491,0.397242604389407,0.633952544507202,0,seven,0.577931586249218,one,0,1,1,0.550082571961696,0.498678151472414,five,0.395406457888963,one,0.890271041512191,0.983299163921126,two,0.155221282315039,0.183433743892499,eight,0.200744802981648,0.217809346962143,0,0.314830564522177,0,five,three,five,two,1,six,0.414127429305607,1,0.122574655304694,0.829878859385558,two,0.746987493347918,three,0.820646788022491,0.227452439111938,1,two,0.793830145832034,0,one,0.561939342055054,0.734294169282558,five,three,0,0,0,1,0,1,five,0.947609437152424,0,0.283793865504133,0.564098084747519,0.118585392951958,0,1,one,one,0,one,0,0.423966163139938,1,0.124094624301009,0.916795041486816,0,one,0.227743765162334,1,0.0294074418875744,1,1,0,0.569414197313375,0,0.745472505572203,one,0.174992983241253,two,1,six,0,0.0630421008479602,0,four,two,0.115052061473763,1,seven,0,0.415434470765483,0,0.0581051441625673,one,four,five,three,0,1,one,three,0,three,five,1,four,0.336419064915276,0,0.998444568140217,0,1,0,1,0.0486472482418957,four,0.942733463219739,0,0.653304051880134,1,four,two,one,0.62354095203109,0.819940080345522,0.0521351600585662,seven,two,0.621377947725226,one,1,0.43118045802923,two,0.850080242813988,0.233273935011765,1,seven,three,0.654658335470867,three,two,two,0.435468404850868,0.899951168140257,0
1,1,three,1,three,1,three,three,0,0,0,three,1,three,1,1,1,three,three,0,three,1,1,three,1,1,0,1,0,1,four,1,0,one,two,0.137486609788568,0,0.928771385705352,0.870257930500853,1,0,0.208216069374106,0.658559453507666,three,0.946297851672107,five,0.14129185485838,0,1,0,0.793729932152015,0.0313471040416557,0,1,1,0.417466226453508,0.361295631535503,0.279310406912509,one,six,1,0.684346674957738,0.843973838795366,0.00486642992040365,0,three,0,0.749797091589731,0.661654761249738,one,four,four,0,one,1,0.430250371724339,0.950220461726324,two,0.918830208803561,two,1,0,one,two,0.598275660137885,0.258756922731153,1,1,0,three,two,three,four,one,1,0.685367760170049,0.609970145662024,seven,four,0.234311274833366,0.825878321312971,0,0.587985949694909,0.881830398528493,0,two,six,1,0.149749043758528,1,four,0,six,0,0,1,0,0.0689034537946759,0.360767565702317,four,0.919068750239197,0.49141715288951,0.460899459504605,six,0,0,0,1,two,0,0.129766755195868,one,seven,two,0.798401094127801,five,five,0.183779393631223,0.315286334880638,four,two,0,0.680823584671229,0.214781165383936,0,three,three,two,0.845642819912843,0.972566605022949,0.497359466926052,1,nine,0.318741433103951,two,0,0,0,0.00729905799507635,0.298580632509771,three,0.954963049504409,three,0.447119254780748,0.799037226986241,three,0.980466066902863,0.845457349610584,nine,0.749627151948352,0.416641435477356,0,0.610945046595919,1,two,three,four,four,1,six,0.720466013527459,1,0.21389215798611,0.898541552281741,three,0.656805943069748,two,0.267061775751524,0.299896623509489,0,four,0.385612494935623,1,four,0.792676770974092,0.971737330493691,three,one,0,0,0,0,1,0,eight,0.105899760554778,1,0.0586111451265192,0.577031495332933,0.487188390105529,0,0,three,four,1,one,1,0.713056194329787,1,0.206779135103063,0.0539456378117017,1,one,0.602349309852324,1,0.389729264693107,0,1,1,0.793070863408076,1,0.94654594861904,one,0.322277324482042,one,0,five,0,0.656033716545256,0,five,eight,0.62977214539757,1,one,0,0.158942758492226,0,0.228425169286892,two,three,one,five,1,0,one,two,0,one,nine,0,six,0.0472530724041786,1,0.284450669206945,0,0,0,0,0.461744757064567,five,0.0608982245225453,0,0.0873843560120485,0,one,four,five,0.17733900624281,0.00937305176176473,0.607326501018527,five,nine,0.760154032375635,two,1,0.268699891400959,one,0.16003903572088,0.896788071071403,1,seven,five,0.458443035242342,two,four,seven,0.690719547908607,0.533415852379555,0
1,1,three,1,three,1,three,three,0,0,0,three,1,three,1,1,1,three,three,0,three,1,1,three,1,1,0,1,0,1,one,0,1,three,four,0.661196704686809,1,0.0991870027672683,0.635238464128488,0,1,0.934086831822333,0.380490985301618,one,0.271534159265908,one,0.708387114506064,1,1,0,0.172234989159052,0.144800694253267,0,0,0,0.877599026857345,0.370045265995362,0.219224800220401,five,five,1,0.401454143901871,0.513990594716488,0.655535928333947,0,one,1,0.188552936379723,0.870727731239051,one,two,five,1,one,1,0.336781899745144,0.670293336164563,five,0.725701647407986,one,0,0,five,one,0.785173521547049,0.301865485961964,0,0,1,four,two,one,seven,three,1,0.601486298314912,0.273717865733216,six,two,0.831805572974065,0.248891938252774,0,0.613280282862849,0.0383143218425106,1,three,five,0,0.0494729956213791,1,one,1,seven,1,1,1,0,0.969884815297104,0.338354949113282,three,0.554510451237091,0.511868640214616,0.557087062111039,five,0,0,1,1,one,1,0.852643674782573,one,eight,three,0.183146366920491,two,two,0.951311181274499,0.176966578255045,three,one,0,0.454314610761881,0.962121618983484,0,three,seven,three,0.971468997779798,0.850587246720736,0.391273821888707,0,one,0.197396174872067,three,1,0,0,0.905369423265618,0.905633021280646,three,0.230521446971694,five,0.465577840084651,0.622271420404006,one,0.104457820845777,0.265116371312421,five,0.301926070871678,0.246189314397543,0,0.138776260302456,1,three,six,three,five,0,one,0.0989501691136693,1,0.429233227641444,0.742905703434385,three,0.848601191233307,three,0.473646750960099,0.199472850328035,0,one,0.642749372181371,0,one,0.86398477177926,0.461757382428782,four,three,1,1,1,1,0,1,seven,0.0489055847428304,0,0.779832833594467,0.631038630392334,0.680936385653815,1,0,three,one,1,three,0,0.456450701023445,1,0.932910705139032,0.637960024228979,1,four,0.184724988182347,0,0.0914762655105434,1,0,1,0.0657308190800145,0,0.175533210795353,six,0.941084567491579,two,1,one,1,0.379613397159885,1,two,six,0.201025533770941,1,five,1,0.674620640782911,0,0.441663369063824,four,three,four,four,0,0,two,three,1,one,one,0,one,0.221245150077697,0,0.410458088944883,1,1,1,1,0.101827720878782,six,0.871248134522346,1,0.790509052578076,1,two,three,three,0.924826088681844,0.784624189891806,0.463042940040643,three,one,0.658980380539244,two,1,0.668009368879359,one,0.460760520978474,0.470667053859863,0,one,four,0.165651772336425,four,five,six,0.24113175843157,0.485167896244423,1
1,1,three,1,three,1,three,three,0,0,0,three,1,three,1,1,1,three,three,0,three,1,1,three,1,1,0,1,0,1,three,1,0,two,one,0.775476726163616,0,0.485606583082485,0.61759927601311,1,1,0.834079483321742,0.24454816097514,three,0.918691582764511,one,0.734251197235621,1,1,1,0.385369804622347,0.704745378679331,1,1,1,0.0609688357125754,0.401930966107609,0.733517912306164,six,four,1,0.44533454364761,0.824859744359032,0.761080630384249,1,three,0,0.335224030428784,0.593695926710571,four,one,three,0,seven,1,0.974324047096699,0.52706105041832,five,0.581446997723807,one,1,1,three,one,0.167198430869001,0.69824965868515,0,1,0,three,three,three,three,one,0,0.187636027964879,0.190930929059443,six,four,0.646382602554769,0.330801484132173,0,0.263880462293023,0.767702383627389,0,two,five,1,0.67428280056823,0,five,1,six,1,0,1,1,0.902034916985781,0.258216109279883,eight,0.776232782060874,0.863590993978287,0.945904039207046,seven,1,1,1,1,two,1,0.431143917806404,two,three,three,0.59351483432144,five,two,0.945796924657613,0.153781915598267,three,four,1,0.552722356198753,0.37903714858613,1,three,four,three,0.344515398023417,0.122111539788457,0.119228627894894,1,eight,0.848742094689444,two,0,1,0,0.467193474055564,0.502817186419748,four,0.433831527512644,four,0.381332963516062,0.0275768793611405,three,0.610008182756733,0.746783801435703,seven,0.875168470690311,0.296043725529856,1,0.873539026542374,1,three,five,seven,two,0,four,0.845175895656167,1,0.510295843970282,0.839365997607358,two,0.117757259964323,two,0.535421569817786,0.34607226100038,0,six,0.739245674511853,0,three,0.355043575871074,0.113230208824686,three,one,1,0,0,0,0,1,two,0.561373399254377,1,0.298212303570956,0.509175447999885,0.183777976153061,0,1,two,eight,0,three,1,0.972351413898683,0,0.527877235100694,0.933824869861592,0,one,0.286667746969854,1,0.31885780056262,1,1,0,0.580101370424159,0,0.781700877842628,two,0.670250636714818,one,1,one,0,0.547907870566203,1,one,eight,0.679739332829432,0,three,1,0.0530329688212517,1,0.0311754865733397,four,three,one,five,0,1,one,two,0,four,one,1,four,0.333879376526438,1,0.154345387712611,1,0,0,1,0.664295420496761,two,0.929945120548297,1,0.46885967817652,0,one,one,five,0.723966201250172,0.708351610955111,0.0740624220066992,one,two,0.0442847916427772,eight,1,0.944689053731981,two,0.130613499624319,0.963616314564727,0,five,one,0.936977005576529,one,five,one,0.852753171901996,0.367753643951746,1
1,1,three,1,three,1,three,three,0,0,0,three,1,three,1,1,1,three,three,0,three,1,1,three,1,1,0,1,0,1,four,0,0,five,two,0.292950929558787,1,0.133066824418855,0.160999431856009,1,0,0.799582205997307,0.951126401554953,two,0.279966364509399,four,0.463664887449577,0,0,0,0.0585063669583411,0.623000602995568,1,1,1,0.914477045168597,0.215678592411209,0.507128065038089,five,five,0,0.787282210676626,0.810489109311474,0.254596959498721,1,one,1,0.777518308922133,0.511571461274906,three,three,three,1,one,0,0.924354337581252,0.14644218772488,one,0.261353032483796,one,0,0,one,one,0.579330604220569,0.984781117233062,0,0,1,five,four,one,eight,three,1,0.173576364586222,0.23669806514294,three,two,0.782666844855631,0.0633835272825543,1,0.991265977900862,0.291373265953045,1,two,one,1,0.849500531621267,1,four,1,seven,1,0,0,0,0.624885546317058,0.181775263275315,four,0.135169430918583,0.258003321918513,0.602784073303078,one,1,0,0,1,five,0,0.264782889717266,three,seven,four,0.459078990242292,seven,four,0.299946482201975,0.441553953251649,two,one,1,0.116516377285855,0.315082589005012,0,four,one,three,0.711724915482484,0.940089453418313,0.195481986527295,0,seven,0.686963190973844,five,1,0,1,0.947459526621465,0.244025772893188,three,0.379227479884483,three,0.956261621575565,0.624975697735786,two,0.0240389098689067,0.210888179685455,six,0.406723549285489,0.404560404856449,0,0.635026391686783,1,six,five,six,five,1,two,0.801151332505517,0,0.777082756806769,0.255079857026153,five,0.291980238375882,one,0.330554587597247,0.0372434497462567,0,five,0.862394851228338,1,two,0.917869426057467,0.269073253913325,four,three,0,1,0,1,0,1,four,0.541257186915028,1,0.654349212271165,0.565344132592793,0.751038283805475,1,1,one,six,0,one,0,0.20557509011137,1,0.310288960441613,0.259197320819967,1,five,0.0645080116687563,0,0.897330608415761,1,0,0,0.912854218908397,0,0.581865586135139,six,0.259534156723229,two,0,four,1,0.446500660366896,1,four,seven,0.224971218203649,1,seven,1,0.341456406623545,1,0.604933719575662,two,three,one,two,1,1,two,two,0,one,six,0,two,0.00626761572594603,0,0.303320121969888,0,0,0,1,0.329195812603722,one,0.204320900663852,0,0.752412613750168,1,one,three,one,0.759181563347558,0.29373666758058,0.709796309442298,two,eight,0.446960750975167,nine,1,0.0486427966288814,one,0.076226374162882,0.662904393179034,1,two,five,0.127036006479629,one,one,two,0.342255288021639,0.409942924432716,1
1,1,three,1,three,1,three,three,0,0,0,three,1,three,1,1,1,three,three,0,three,1,1,three,1,1,0,1,0,1,two,1,0,six,four,0.987193365282004,0,0.142375220368047,0.584597228475565,1,1,0.857045260437751,0.222102251502275,two,0.362450008209786,six,0.348250256714578,1,1,1,0.371665990558793,0.223094581174221,0,1,0,0.914664604137156,0.674284870563698,0.383290831523291,three,five,1,0.666789362699656,0.414102638816362,0.671202127673263,0,two,0,0.0948079479178365,0.26636966295937,two,two,one,0,one,1,0.329947987696372,0.0853256135837378,one,0.117320695819621,two,0,1,three,one,0.193060106334767,0.0857922768315662,1,0,0,six,three,three,one,three,1,0.0466860575369983,0.354622967381614,five,two,0.590801454412642,0.268736436422935,1,0.380458907010786,0.914252645811742,1,two,one,0,0.518459189947018,0,two,0,five,0,1,0,0,0.922435089262161,0.202997450881917,eight,0.583674131894146,0.466071349703222,0.113360567165947,two,1,1,0,1,eight,0,0.173077826579377,two,four,three,0.673119826732289,seven,two,0.0937271995940061,0.0867402123803132,four,one,0,0.894624852902751,0.551201350262376,0,three,eight,three,0.869853279318713,0.767917174443495,0.800526304131857,1,two,0.189444557698621,three,1,0,1,0.438296637197358,0.30795347813022,three,0.536190534798834,eight,0.82432459901225,0.630587647171243,two,0.277826647087448,0.806821753668472,five,0.469438583099006,0.510118721854842,1,0.66515475420577,1,one,four,seven,four,0,one,0.920811499235201,0,0.490892779962124,0.773856563041055,five,0.119001146674327,three,0.956333059450458,0.786033212549957,1,four,0.693361859796808,0,four,0.341076153780591,0.182041991433953,two,one,1,1,0,1,0,1,two,0.0945971638651089,1,0.84164532136213,0.32391836812518,0.907913380864345,0,1,two,five,0,one,1,0.81292753730617,1,0.288061171236584,0.219139532428342,1,three,0.519474247237169,0,0.37465688631675,0,1,0,0.220002673024788,0,0.380664856651897,six,0.340101792831118,three,0,five,1,0.67954069440728,0,three,four,0.616395159318076,0,seven,1,0.983317318716779,0,0.447256024548653,two,four,three,four,1,0,three,five,0,three,five,0,three,0.614433757036661,1,0.384930018150331,0,1,1,0,0.269736392192701,one,0.283817311985273,1,0.574706012190642,1,four,four,one,0.612362489246433,0.235018383494694,0.591246068068579,nine,three,0.720719913348229,nine,1,0.0120841456775801,two,0.70512428871844,0.828196736443078,0,four,four,0.0170578975658836,two,one,one,0.911561713581679,0.826532906071213,1
1,1,three,1,three,1,three,three,0,0,0,three,1,three,1,1,1,three,three,0,three,1,1,three,1,1,0,1,0,1,one,1,1,four,four,0.944140137803345,1,0.275738373369714,0.427094433436113,1,0,0.62762440823943,0.760583597917988,one,0.387172006544305,two,0.556745863515144,0,1,1,0.0831709851929097,0.882106489149009,0,1,1,0.187290736703553,0.319656141402359,0.00283322016236542,six,seven,0,0.184206526685777,0.98103585136158,0.612477891373947,0,one,0,0.745339242871204,0.926681911305572,two,one,five,0,eight,1,0.989719173791428,0.948079189516246,two,0.24735798875714,two,0,1,four,one,0.569213331571211,0.701491345583814,0,1,1,two,two,one,two,one,0,0.417173301959757,0.379529049744686,six,one,0.393035799801092,0.0961306833935555,1,0.116556730335782,0.622916543400405,0,two,three,0,0.586361508926759,0,five,1,seven,1,0,0,0,0.832165818969097,0.820949126310218,eight,0.865508455712494,0.902515967371788,0.112088905804565,seven,0,1,1,0,five,1,0.384526060712331,three,two,three,0.325480732864452,seven,two,0.675849743113735,0.495776752182426,four,six,0,0.75161359244642,0.261726729736818,0,five,two,three,0.46503857443677,0.0174051780347481,0.64899147068906,0,six,0.836746850237944,two,1,0,1,0.328274391617523,0.161446854173829,five,0.927037516387301,three,0.682146171377788,0.776343392127852,three,0.179078173055656,0.955127986823358,seven,0.897240101502627,0.294234738434476,1,0.0997439732752541,0,one,eight,one,six,1,one,0.653403970802959,0,0.298973215749169,0.641515451788523,three,0.333968995915533,two,0.0199472203764625,0.731741940591892,0,five,0.808028266930861,1,five,0.0551868332832647,0.0264772310741954,three,three,0,0,0,0,0,0,four,0.130715407845161,0,0.379789731069621,0.88856697469376,0.990149670328374,1,0,three,one,1,one,0,0.902150425186775,1,0.491181221120238,0.967412324795938,0,two,0.762339694047499,1,0.193149144424846,1,1,1,0.0613689230252147,0,0.432127101009842,three,0.251319693552527,two,1,six,1,0.0539446542473369,0,four,seven,0.749403811197856,0,three,1,0.0551750011467979,0,0.544679985033656,one,three,one,seven,0,0,two,six,0,six,one,0,six,0.0405526193006331,1,0.535124684494818,1,0,1,0,0.46921430960902,four,0.54913055987263,0,0.776672855340452,0,two,seven,two,0.292764269864744,0.0715588896775331,0.703161141038786,two,eight,0.487400647967237,five,0,0.233616313848248,three,0.28256052589703,0.693037881068502,1,four,five,0.00296488730455169,three,four,five,0.605205663171426,0.546303636089799,0
1,1,three,1,three,1,three,three,0,0,0,three,1,three,1,1,1,three,three,0,three,1,1,three,1,1,0,1,0,1,two,1,0,six,three,0.538224858040906,0,0.354332490159938,0.201119852486149,1,1,0.492192126625976,0.923619725285695,two,0.813958473167754,two,0.745320532522577,1,0,1,0.0232742931506483,0.124019878852871,0,1,0,0.67082843802025,0.0932383263659479,0.9548345698191,five,three,0,0.89686455300528,0.373239132716818,0.0224737374757304,1,three,1,0.277973108354123,0.62193759098158,two,three,three,1,eight,1,0.447594484567647,0.768393083587803,seven,0.0845919699261221,one,1,0,one,three,0.659892445714674,0.643959337632532,0,0,0,seven,five,two,one,three,1,0.301854682289672,0.475585579928631,three,one,0.734242964337985,0.186676993983718,0,0.30711957315979,0.512458439983446,1,one,five,0,0.34618972846769,0,one,0,seven,1,0,0,0,0.132137770912886,0.937794649625875,four,0.219780872251814,0.637963264791937,0.100046421712047,one,1,1,0,1,nine,1,0.65346720748072,three,seven,four,0.841053563175622,six,five,0.063107801349545,0.123927854514343,two,three,1,0.46443302292264,0.996864879351399,0,four,five,one,0.411903966703417,0.538974712135605,0.150396963219276,1,seven,0.716372220065587,one,0,0,1,0.371589805026101,0.988804052460719,four,0.783343815214924,three,0.679710641830057,0.429521021560528,three,0.292821338312454,0.929503021306187,five,0.933944086939074,0.711537369838577,0,0.883080915201218,1,two,nine,six,two,1,five,0.93584599791258,0,0.850250106146914,0.497518146553848,four,0.81171721169066,three,0.265589711068439,0.597699438633489,1,six,0.612631632359915,0,five,0.358920472515654,0.232070602684404,one,one,1,0,0,1,0,0,five,0.458076514174717,0,0.0458255506762398,0.500569017089989,0.146524689875061,0,1,three,four,1,one,0,0.0604101384652227,1,0.5485625328987,0.717579444332098,0,five,0.510959408577598,0,0.981920899458332,0,0,0,0.983132845471795,0,0.603605501140756,one,0.502773019307255,two,0,five,0,0.423709722391849,1,four,eight,0.70398421831754,0,one,0,0.228258420226005,1,0.365621655530855,four,five,four,three,1,0,two,six,1,two,three,1,six,0.457637620922965,0,0.116710488945697,1,0,0,1,0.974980829814906,six,0.595272291327775,0,0.705448741242402,1,two,nine,two,0.530150550443124,0.144055109082856,0.671790980879577,one,six,0.815411403075693,seven,1,0.617238292865217,one,0.993519894413587,0.588975800928451,1,seven,four,0.107206620842956,five,one,one,0.00085159992077688,0.648448443812354,1
1,1,three,1,three,1,three,three,0,0,0,three,1,three,1,1,1,three,three,0,three,1,1,three,1,1,0,1,0,1,four,0,1,one,four,0.975280265173129,1,0.500423711027903,0.960286980040025,0,0,0.37075308043251,0.348076451524462,three,0.0375279466423012,six,0.591271089225084,0,0,1,0.487396024936253,0.996127813508308,0,0,0,0.621213327722855,0.614443128250999,0.133698451943094,three,five,0,0.421028231497736,0.392850225102302,0.404374324413472,1,one,0,0.121426717716047,0.0658042784166438,three,four,five,1,one,0,0.903743387661201,0.37312952508384,four,0.86662507263868,two,0,1,five,one,0.528555814463411,0.0227198151184769,0,1,0,five,six,two,seven,three,1,0.652505700128183,0.520419399178166,five,three,0.572978796623939,0.121519097674512,1,0.799144244780859,0.710375452508806,1,three,six,1,0.176004968295307,0,one,0,seven,0,0,1,1,0.22823107609656,0.00678046992493864,six,0.227597273232401,0.398067665358695,0.64918356934458,two,0,0,0,1,two,0,0.391681037344368,one,four,three,0.189372888643301,four,one,0.419335440938083,0.0907722238077446,five,six,0,0.229944639968374,0.572319144224729,0,three,one,one,0.603718873036009,0.965929421195192,0.182145430969875,1,two,0.230537077195885,three,0,0,0,0.212683598607786,0.663365805661284,five,0.708404457210307,two,0.502334968240212,0.174388665155635,three,0.844089972806254,0.0196871542595795,seven,0.732274035991747,0.687002357030997,0,0.98180452311637,1,one,three,six,three,1,three,0.904769675654163,1,0.353411744773205,0.632835850623651,five,0.41637912076755,three,0.540834676837806,0.962194001833985,1,two,0.0328788719949229,1,three,0.842327325877632,0.283078923587726,three,three,0,0,1,1,0,0,seven,0.862802635053714,1,0.348822589781908,0.863018786429578,0.366895645920725,1,1,three,two,0,one,1,0.233894535902522,1,0.219383065194582,0.287982226496836,1,one,0.155706379939069,0,0.00762383385789334,0,1,1,0.568779811317127,0,0.695329249420678,two,0.467042267096457,two,0,five,1,0.30598287275692,1,two,two,0.825661383529899,0,seven,1,0.255977816109722,1,0.386562225529708,two,one,five,six,0,0,two,seven,1,three,four,0,two,0.972639832983582,1,0.0958790246187249,0,1,1,0,0.884004431578873,one,0.0388516011530904,1,0.292307019745808,1,one,seven,one,0.927354873242409,0.06716131834073,0.274572484313954,three,eight,0.826910090522649,five,1,0.919550851740982,three,0.494729245859746,0.0989889444505579,0,four,two,0.260937022394899,four,five,seven,0.525361675821695,0.0850828516967339,1
1,1,three,1,three,1,three,three,0,0,0,three,1,three,1,1,1,three,three,0,three,1,1,three,1,1,0,1,0,1,three,1,1,one,four,0.581871612033675,1,0.723454731816719,0.971464262754067,1,1,0.143953766944139,0.872656279062268,two,0.657940809191596,one,0.303610707314974,0,0,0,0.735443274672873,0.216401193123865,0,1,0,0.134165808136884,0.336223723898139,0.945676884794113,six,three,1,0.905989071608795,0.82010031290331,0.882242864235947,0,three,0,0.30907912701725,0.4164438714255,four,one,four,0,five,0,0.547218945289057,0.88371856131379,five,0.57242375684526,one,0,0,six,three,0.271322711887831,0.770481832724868,1,0,0,five,five,three,five,one,1,0.198929426449739,0.376077039462862,eight,one,0.390093224033828,0.252120975007287,0,0.16822766035956,0.21894665162711,0,three,four,0,0.884019753751872,1,two,0,four,1,1,1,1,0.47925875470333,0.932841182764128,two,0.91585890926761,0.921062781321505,0.582205595687441,three,1,1,0,1,one,0,0.744749538933884,three,three,three,0.733606611051495,three,two,0.236506634396601,0.517133505726104,five,four,1,0.648159107696392,0.107864960069059,0,four,one,one,0.281687927230285,0.281988939711482,0.109997752533397,0,five,0.216789870066476,five,0,1,0,0.644682903270939,0.194313638079064,one,0.721920068049144,five,0.304923359089175,0.795041589337299,three,0.936811014807095,0.97110440672817,five,0.687298883219183,0.320567944690452,1,0.605131438960521,0,four,nine,one,one,1,two,0.644820759716368,1,0.257778480325586,0.960544119149085,five,0.427017747562088,one,0.814217367390062,0.479405926026413,1,one,0.38656593382148,1,three,0.701837970920249,0.920115318039544,five,two,0,1,0,1,1,1,four,0.247686306061482,0,0.784240850599916,0.351828292319464,0.777583285399191,0,0,three,eight,1,two,1,0.769632420402547,0,0.150525373863065,0.476578183651963,0,four,0.140225595393331,0,0.349387817139177,0,1,1,0.655022331809235,1,0.611309870155784,one,0.57643648217301,one,1,two,1,0.741948728771316,1,two,two,0.445391703626597,1,six,1,0.344082485217625,0,0.41594119870662,three,five,two,seven,1,0,three,five,1,three,eight,1,one,0.0605441400972088,0,0.748238457332986,0,0,0,1,0.337587012376063,five,0.556151763561347,1,0.487024539625742,1,five,seven,three,0.131887050010277,0.182537919475744,0.61825613988246,six,five,0.512634684729026,nine,0,0.162112003068038,one,0.507360133799071,0.918659698436173,0,five,five,0.63781216903488,two,one,eight,0.523116049852396,0.0744798413771378,0
