cdata63,bdata62,ndata17,bdata61,ndata3,bdata84,bdata14,cdata88,ndata27,bdata81,ndata6,ndata13,ndata28,ndata76,ndata70,cdata89,cdata45,cdata99,ndata18,bdata72,bdata77,bdata32,cdata55,ndata44,ndata15,bdata85,bdata3,bdata86,cdata1,ndata9,ndata40,ndata90,bdata67,bdata2,ndata89,cdata71,cdata59,cdata42,bdata29,bdata71,cdata13,cdata72,cdata2,bdata90,bdata94,cdata18,ndata30,bdata68,cdata20,cdata100,bdata57,cdata54,ndata60,cdata39,ndata79,bdata47,ndata35,cdata68,ndata66,ndata100,ndata11,cdata80,cdata10,ndata16,ndata64,ndata56,cdata53,bdata49,bdata55,ndata82,ndata39,ndata25,cdata76,bdata4,cdata44,cdata62,bdata58,ndata49,cdata24,cdata97,cdata46,cdata31,bdata5,bdata75,bdata43,cdata23,cdata33,cdata81,ndata52,cdata40,bdata54,bdata93,bdata12,bdata66,bdata65,ndata4,cdata78,bdata21,bdata88,cdata15,ndata58,ndata62,ndata84,cdata57,bdata56,ndata92,cdata19,ndata43,cdata51,cdata50,cdata93,bdata44,cdata87,bdata20,bdata33,ndata80,bdata19,ndata50,ndata12,bdata91,bdata78,ndata97,ndata95,cdata37,cdata26,cdata3,bdata9,bdata17,ndata98,cdata14,cdata49,cdata16,bdata69,cdata35,ndata57,ndata7,ndata1,ndata5,cdata25,cdata4,bdata82,ndata41,bdata22,cdata29,bdata28,cdata90,bdata74,ndata96,bdata30,bdata63,ndata65,ndata78,cdata82,cdata5,cdata64,cdata36,bdata50,cdata9,ndata51,cdata56,cdata85,bdata10,ndata77,cdata22,cdata12,cdata94,cdata69,bdata87,cdata83,cdata86,ndata23,ndata29,cdata91,bdata25,cdata48,ndata69,ndata46,ndata48,cdata47,bdata92,bdata59,ndata19,bdata42,cdata73,bdata13,cdata8,cdata75,ndata87,bdata79,cdata84,bdata36,cdata65,cdata38,cdata74,ndata36,ndata37,bdata89,cdata95,ndata34,bdata39,cdata98,cdata77,bdata100,ndata61,ndata81,bdata1,ndata94,bdata98,ndata68,ndata38,bdata34,ndata10,ndata85,bdata99,bdata7,cdata43,bdata31,bdata24,cdata52,cdata28,ndata31,bdata18,ndata2,cdata92,bdata95,bdata97,ndata33,ndata75,bdata73,bdata41,ndata42,cdata11,ndata72,ndata53,bdata6,ndata24,ndata74,ndata54,bdata37,bdata26,ndata55,ndata8,cdata7,cdata96,bdata48,cdata17,cdata21,cdata61,ndata14,bdata27,ndata86,bdata16,bdata8,ndata20,cdata41,ndata26,cdata70,cdata6,cdata30,bdata70,bdata76,ndata71,bdata15,bdata53,bdata60,ndata99,ndata45,ndata32,ndata88,ndata93,bdata40,bdata46,bdata83,cdata67,bdata11,ndata22,ndata73,bdata35,bdata80,ndata83,ndata47,cdata79,bdata52,cdata34,cdata32,cdata58,ndata21,bdata38,cdata66,bdata23,cdata60,ndata63,bdata96,ndata59,bdata45,ndata67,cdata27,bdata51,ndata91,bdata64
three,1,0,1,0,1,1,three,0,1,0,0,0,0,0,three,three,three,0,1,1,1,three,0,0,1,1,1,three,0,0.519634123567809,0.534863323651215,1,1,0.914534083398621,two,three,nine,1,0,nine,two,nine,1,1,one,0.392225498954197,0,six,seven,1,three,0.950739911094614,two,0.675824234810394,0,0.166236885618834,three,0.127115670610963,0.775477262299996,0.0486046681243845,one,one,0.355729661170192,0.262801925440102,0.352291578685321,seven,1,1,0.809923985816758,0.851027503381801,0.625459856660841,two,1,five,four,1,0.16354625722953,two,five,four,eight,1,1,1,seven,eight,one,0.251801053524215,three,0,1,0,1,0,0.861401713409443,three,0,0,seven,0.791486211973341,0.080010233698715,0.481521836370892,three,1,0.696394455951319,two,0.826277352811684,three,one,two,1,three,0,1,0.0920489852096842,0,0.907325352050588,0.475431026133909,1,1,0.130387152619151,0.899454337662828,two,one,four,0,0,0.0129546294332047,four,five,six,1,three,0.717106354221834,0.67323111220939,0.536160768503393,0.377287459917131,three,five,0,0.815848152908794,0,four,0,one,1,0.0303763024885096,1,1,0.907658471139099,0.073324945046122,four,one,three,three,1,two,0.0926557450692919,five,two,1,0.446759734541506,three,three,six,seven,0,three,three,0.804392853652913,0.162016528458851,two,1,five,0.33201942393938,0.58267529966835,0.22523051926762,four,1,0,0.10906682408855,1,three,0,five,five,0.466598226385565,1,five,1,one,one,three,0.0160757254799061,0.311020032363168,1,one,0.66647580577511,1,two,two,0,0.425288497370983,0.694649367705021,0,0.0647481009220653,0,0.389638698777293,0.983778666487074,1,0.366752884011976,0.0671353291097286,1,0,one,1,1,two,two,0.150038798337525,0,0.827182291340605,five,0,1,0.815317867493549,0.857793489223754,1,1,0.535077422251037,two,0.81688749266819,0.303018510202837,0,0.969648406289649,0.751158550860022,0.47266604364193,0,1,0.0952137749779345,0.761404555415837,two,four,1,one,three,seven,0.166666855157973,1,0.795778933202534,1,0,0.091889268344664,five,0.825442089784778,three,two,four,1,0,0.603604667319741,0,1,1,0.4035438305961,0.469040715146944,0.155777179983928,0.535946188417538,0.73514801631096,0,1,0,two,0,0.0875756212490528,0.286179102540404,0,1,0.885009338197784,0.161983044998274,three,0,four,one,six,0.876552675036087,1,six,0,two,0.0122437360830703,1,0.157179668483254,0,0.257368485208057,three,0,0.113588874903147,0
three,1,0,1,0,1,1,three,0,1,0,0,0,0,0,three,three,three,0,1,1,1,three,0,0,1,1,1,three,0,0.886554600931022,0.894627097024594,0,0,0.993425473731855,three,eight,nine,0,1,four,three,one,0,1,two,0.0773015361747805,1,seven,three,1,three,0.166656709287864,two,0.700618677762642,0,0.716675163703598,four,0.797099403517396,0.890745863871576,0.870357649006506,one,three,0.265167885141259,0.0166775157686367,0.877759235452633,four,1,1,0.422947789044426,0.132901669126082,0.818699807975211,seven,0,two,five,1,0.312129258430535,five,two,three,six,0,0,1,two,two,two,0.665202287298522,two,0,0,0,0,0,0.482549003702959,one,0,1,five,0.863020680981403,0.327160788925452,0.386433303623632,three,0,0.0226799186747506,two,0.472809870196419,seven,one,two,1,six,1,0,0.0574582662655939,1,0.318361092718353,0.270237085547058,0,1,0.0382451895783126,0.918076108415049,two,three,one,0,1,0.259714400111569,five,two,one,1,one,0.367459371070507,0.274342955552108,0.904334299451608,0.345999491496459,three,five,1,0.697080292770214,1,four,0,five,1,0.951234568485981,1,1,0.872044845266001,0.29640411500056,two,one,two,two,1,four,0.820631680889749,three,five,1,0.0298466058689922,five,three,two,seven,0,two,three,0.204826269940434,0.765165094509799,three,0,six,0.830516802618347,0.152693122580185,0.623881381066337,four,0,1,0.591416117382816,1,two,1,one,five,0.1656497941525,0,two,1,two,two,three,0.172090417656855,0.255445488736099,0,three,0.183742572753263,0,two,four,1,0.51228146630399,0.3654041645384,0,0.222036251140753,0,0.070734288925449,0.0515136445087231,0,0.442508693141148,0.806774301638813,1,1,two,1,0,three,two,0.172778002696451,1,0.647698374498694,five,0,1,0.198609948792058,0.654084538152393,1,1,0.352175147891945,one,0.88118313051614,0.973691635036146,1,0.603351323705322,0.975743126913837,0.168997496886129,1,0,0.113173224271709,0.615678272562171,eight,four,1,one,four,three,0.451737250630363,0,0.755547831892128,0,0,0.264929230186482,two,0.475863608308162,two,one,six,1,1,0.259240745406213,1,0,0,0.0349957589467492,0.164603984406119,0.240050213064595,0.929979164402413,0.692979155993793,0,0,0,three,1,0.525748219792614,0.685048442268794,0,0,0.483964959650105,0.983082590457408,five,0,two,two,five,0.184861558458417,0,three,1,five,0.722857593682541,1,0.981007545652207,1,0.473186459256989,two,1,0.822994759316403,1
three,1,0,1,0,1,1,three,0,1,0,0,0,0,0,three,three,three,0,1,1,1,three,0,0,1,1,1,three,0,0.340590294832833,0.718588550727665,0,1,0.212009185299086,four,nine,four,0,0,six,four,four,0,0,one,0.641712502977132,0,one,six,1,two,0.646112726012732,two,0.902170722708617,0,0.406209615240452,three,0.645442963049914,0.628476940877412,0.737306988174787,three,three,0.43159292283983,0.515007787003473,0.847835645700481,eight,0,1,0.638606706966332,0.909513505277506,0.0339217877932673,six,1,two,three,1,0.834276373660096,three,five,three,four,0,1,0,six,three,one,0.384575946187345,two,1,0,1,0,1,0.177297109818756,four,0,0,two,0.564710222146032,0.714197234496282,0.737608650992919,three,0,0.283667013137842,three,0.226183073442766,six,seven,five,0,seven,1,0,0.392552806398175,1,0.294288002188383,0.634360836836954,1,0,0.40046867070424,0.751065531473144,one,three,two,0,0,0.27766790247209,five,three,six,1,three,0.817973012077557,0.826556648458688,0.818791878417891,0.640039833330894,one,four,0,0.579573824277489,0,four,1,three,0,0.794233503531939,0,1,0.700418820897123,0.337897125541157,three,two,two,two,0,three,0.270387350956266,three,seven,1,0.469608584122414,four,three,five,three,1,two,seven,0.250830429052279,0.720692048798974,four,0,four,0.26265438769846,0.723848756719827,0.996216635861726,four,0,1,0.0127414469645352,1,seven,0,five,one,0.71811621418401,0,four,1,three,two,two,0.543276976165845,0.304172995487349,0,two,0.961451563652983,1,two,three,0,0.957874020631007,0.153582276971334,0,0.86262073861864,1,0.0377029601694724,0.496952349286462,0,0.149735872091024,0.529241670523872,1,1,one,0,1,two,three,0.925024010593329,1,0.799473217476635,one,0,1,0.145614534445145,0.211026617171302,0,1,0.149721633611909,one,0.906833887724434,0.312840831438816,0,0.204416370026906,0.894969827853668,0.149943954598244,1,0,0.152011649164932,0.117681059162992,eight,one,0,four,five,six,0.267865618347754,0,0.454356496127709,1,0,0.252149639039531,four,0.999276799228821,two,four,four,1,0,0.0370299023463021,0,1,1,0.984982517025012,0.465179016839662,0.279902093663806,0.737130241000737,0.761897269629938,1,1,0,two,0,0.60158136030703,0.542880323397013,0,1,0.692813587067567,0.354992445671563,five,1,four,one,five,0.321459652567033,0,seven,1,two,0.399232870315586,1,0.720062249376942,0,0.565605905672966,three,1,0.0876710536706939,0
three,1,0,1,0,1,1,three,0,1,0,0,0,0,0,three,three,three,0,1,1,1,three,0,0,1,1,1,three,0,0.440577530463337,0.297441103886151,1,1,0.488207119961433,two,eight,four,0,0,five,four,nine,1,1,one,0.561749169727766,0,two,eight,0,four,0.226733190412657,three,0.469499639908596,1,0.500598946817511,five,0.632375638028022,0.816763119431022,0.860278017843689,one,two,0.252546804802136,0.0137197952628028,0.618408695284233,eight,0,1,0.0699014991611786,0.446857496028107,0.327797253325571,two,1,three,two,1,0.662052141555142,one,six,four,five,1,1,0,seven,six,three,0.0502436788370706,one,0,0,0,0,1,0.527193402519287,five,1,1,two,0.874465928433961,0.0830558035095041,0.0147909273595113,three,1,0.2491680307404,one,0.881691935668275,five,three,five,1,five,0,0,0.836364455187914,1,0.867672409838127,0.839763069109771,0,1,0.68855232485573,0.604547317430836,one,three,four,1,0,0.232756586989823,two,four,six,1,two,0.634074635431256,0.445863910932859,0.00269634790251838,0.982125046142875,three,four,1,0.681731026876001,1,four,0,five,1,0.0414981440327302,0,0,0.670318789732251,0.115678030946791,two,three,five,one,1,three,0.639354887329657,two,seven,1,0.495762395532141,three,one,six,seven,0,three,six,0.715824128906818,0.415166869358703,three,0,six,0.616239366167135,0.0483876840722262,0.299323165098271,two,0,0,0.324347372822975,1,four,0,four,one,0.047452394507274,1,one,1,one,three,four,0.118145156754836,0.0278480580882693,0,two,0.990296533889044,0,three,one,0,0.0430199254490112,0.658948735468265,1,0.794696134329013,0,0.715244467945142,0.551529420518398,0,0.994263844766985,0.344671110424974,1,0,one,1,0,four,five,0.456991284613046,1,0.521797748464434,two,0,1,0.0798934145679884,0.295328511010218,1,1,0.444463723181536,two,0.501402252080916,0.194370369041705,0,0.249864319627263,0.458927707837688,0.506054270141509,0,0,0.698613868498632,0.167267841361679,one,three,0,two,three,three,0.0414255809195083,1,0.991196513707722,1,1,0.0732219469578799,three,0.0716764772124722,one,one,seven,0,1,0.194648883199389,1,0,0,0.191536185846877,0.423851373091694,0.38851314827478,0.76100529221985,0.477702400596202,0,1,0,three,0,0.474165400110602,0.0889363432059647,0,0,0.0680170727154534,0.0396152071125428,nine,1,four,two,one,0.0242063005905018,1,six,0,two,0.887014182921425,1,0.451609570185125,0,0.941469109905478,one,0,0.182292396677773,1
three,1,0,1,0,1,1,three,0,1,0,0,0,0,0,three,three,three,0,1,1,1,three,0,0,1,1,1,three,0,0.411976041369402,0.373094464583467,0,1,0.387540081834069,one,eight,one,1,0,four,two,nine,1,1,two,0.89701035926214,1,four,one,0,three,0.746618371451123,one,0.0345387910309363,0,0.329292329948868,three,0.378677626683442,0.011111939486397,0.487877914794359,two,one,0.153325846416584,0.355106323583435,0.0459719733266376,three,1,0,0.0176965579173024,0.599638699611706,0.0610144996359218,seven,0,one,two,0,0.460374514167992,five,six,three,five,0,0,1,three,six,three,0.728461201124169,two,1,1,0,0,1,0.164576762381265,two,0,0,two,0.233745382886198,0.914429459722243,0.663557921496689,one,0,0.816394393791498,one,0.43014449019076,seven,eight,six,0,seven,1,0,0.590234851920777,1,0.239353014489324,0.449484639650091,1,1,0.506867597289099,0.595633438833583,four,three,two,0,0,0.0645090548170143,three,four,two,1,one,0.0118202632274094,0.000157258068231303,0.510713198643382,0.443500287311503,two,three,1,0.66716423070222,1,three,0,five,0,0.0113464332219781,0,1,0.487703426623671,0.245850064582353,five,two,two,one,1,three,0.977409882237767,five,seven,0,0.805194784177298,three,one,two,six,1,two,four,0.751389123217708,0.615815564263172,four,1,two,0.150430328977614,0.187242766716765,0.95730678046634,four,1,0,0.197385422588876,1,seven,0,one,two,0.707516654818762,0,three,0,one,three,four,0.690067917567661,0.857778832413256,0,one,0.708715932585015,0,two,three,0,0.584118403995699,0.42485837529388,0,0.21309099394412,1,0.395208067265282,0.718374284043938,1,0.746780104936937,0.721200133841723,0,1,five,0,0,one,two,0.670764525301272,0,0.708638455126444,five,1,1,0.552738012523956,0.296767313066566,0,0,0.426053558782246,one,0.679792063268215,0.302805688629575,0,0.589069255090932,0.349494802435312,0.13051072588334,1,0,0.638837093507769,0.654116980531921,four,three,1,two,five,seven,0.759789190975951,1,0.184122019956435,0,0,0.903034516560486,six,0.57826464806832,three,three,three,0,0,0.0779479032877094,1,0,1,0.714509460508325,0.839865938122442,0.163155679558469,0.110564367999353,0.0508375599487296,0,0,1,three,0,0.119655656048466,0.721708022403018,0,1,0.244279072781563,0.614599675893467,four,0,four,three,five,0.498214633980956,1,seven,1,three,0.243275849057638,0,0.477076939553438,0,0.502484251828379,five,0,0.908251731923997,1
three,1,0,1,0,1,1,three,0,1,0,0,0,0,0,three,three,three,0,1,1,1,three,0,0,1,1,1,three,0,0.895185702585251,0.283191056885486,0,1,0.00191407345382355,one,seven,seven,0,1,six,three,one,0,0,one,0.761674214294684,0,two,seven,0,two,0.659218299463847,two,0.62303914807732,1,0.653043881194508,six,0.816768102778467,0.424025480137744,0.766688499869097,three,one,0.255650995406477,0.406037573670131,0.00909496581384828,six,1,1,0.986339422062692,0.903603249035652,0.563982457352658,six,0,one,one,0,0.499137710549322,four,two,three,three,1,0,1,five,five,three,0.807712589619687,two,0,1,0,1,0,0.953391461718976,six,0,0,two,0.460085112516439,0.456376938431976,0.666334498880178,three,1,0.798538279184279,two,0.0578888636383637,five,six,one,1,two,0,1,0.893701884815013,0,0.419725882911556,0.656662799594492,0,1,0.219922756481534,0.219829906005019,four,one,three,1,0,0.361546954518167,three,two,one,0,two,0.851995420987772,0.581345037428092,0.0762976379662171,0.424080617087141,one,two,1,0.650074297059817,1,three,1,one,0,0.918167449990375,1,1,0.457505172429903,0.5241192920456,two,one,five,two,1,two,0.961024935276491,three,one,1,0.893940573804937,two,one,three,six,1,five,one,0.809357790601904,0.24757645820443,three,0,one,0.842677922843811,0.232446232286826,0.693070563969716,four,1,0,0.0313453715173749,1,four,0,two,two,0.284270122064072,1,one,0,two,one,three,0.989937970014192,0.815092086214092,1,three,0.819709508954693,0,three,three,0,0.671074222786699,0.34638611103668,1,0.400558941159828,0,0.391021371702572,0.715451558224915,1,0.647382865465022,0.313729352611575,1,0,two,1,1,one,two,0.705231474200842,1,0.161427957415766,five,1,1,0.854315439264048,0.847157939785611,0,1,0.686389662897004,two,0.137287406506535,0.535649085338571,0,0.623077459827702,0.258410075639323,0.992167677159883,0,0,0.409155108002175,0.27132188826566,eight,three,0,two,five,five,0.832186788580476,1,0.803631613825106,1,1,0.833523539830212,one,0.668656245386583,two,six,seven,1,1,0.358773605123057,0,1,0,0.589421832451977,0.215718862331122,0.468522268713576,0.707204839513751,0.640809480594345,0,0,0,two,0,0.453456305582972,0.518881134470403,1,1,0.513476552946397,0.897855532245952,four,0,two,one,three,0.371480198339646,0,two,1,four,0.886640025528443,1,0.72923214707842,1,0.622487447035945,six,0,0.404937767064733,0
three,1,0,1,0,1,1,three,0,1,0,0,0,0,0,three,three,three,0,1,1,1,three,0,0,1,1,1,three,0,0.872694506712523,0.282435042518672,0,1,0.984068235297834,one,six,seven,0,0,two,one,nine,1,0,three,0.886036573721286,1,two,two,1,four,0.00131016500117676,two,0.201996377824461,1,0.483012783097946,three,0.62977895655556,0.94302538257915,0.164469910872336,one,one,0.606128665792131,0.971614688610652,0.386944975949576,five,1,1,0.688549490767323,0.989732615802595,0.704254072841263,eight,0,three,three,1,0.934964696323254,two,six,three,four,1,1,0,seven,eight,three,0.236618939408722,three,0,0,1,1,1,0.0639701895409662,six,0,0,four,0.597884957056752,0.597916218985575,0.959052139688883,one,0,0.821509262699237,one,0.233739639025327,three,six,six,1,one,1,0,0.991382596874689,1,0.944491718322337,0.622335385269318,1,1,0.810973975330586,0.982698796288667,three,two,two,0,1,0.230253415371233,three,one,six,0,two,0.713831579827103,0.157736373593807,0.113920544075231,0.324864821448446,three,six,1,0.629592058744433,1,four,1,four,0,0.760568988278641,0,0,0.209881754012624,0.999379947009308,three,one,four,six,1,three,0.425358511327975,one,five,0,0.0790777655403602,three,one,five,two,1,one,five,0.585905377055198,0.952701945110544,two,1,three,0.369441186988433,0.233517778847688,0.3109746968797,three,0,0,0.488658729020717,0,two,1,two,five,0.889918857982602,0,four,1,four,three,five,0.527374832055034,0.500864849766861,0,three,0.38069779000948,1,three,two,1,0.282139152397142,0.0107707549136047,0,0.0522466421133146,0,0.291114548959415,0.072991695372331,0,0.388782160780916,0.855621751261972,0,0,three,1,1,one,one,0.0912100686922778,1,0.172131872231994,five,0,0,0.208247103227126,0.747218392141313,1,0,0.641312265762341,two,0.440410387769399,0.839959820625185,0,0.354034009703515,0.47967008409818,0.236767914382876,1,0,0.481948999171306,0.100066643229775,seven,three,1,one,five,six,0.244386756178642,0,0.948560154556819,1,1,0.258342111691636,five,0.664430486016275,one,three,one,0,1,0.562943154141036,1,1,0,0.890754213728529,0.895968836944648,0.119365762820234,0.924283430037004,0.366455021425852,0,0,0,two,1,0.403043429346897,0.909757494357973,0,1,0.798314583018337,0.109559315647776,six,0,three,three,three,0.166858519716169,0,four,0,three,0.688182417816283,1,0.414898071148891,0,0.0848322151507319,seven,1,0.118042075507859,1
three,1,0,1,0,1,1,three,0,1,0,0,0,0,0,three,three,three,0,1,1,1,three,0,0,1,1,1,three,0,0.0714533586410381,0.0145154533009868,1,0,0.586480859641184,three,four,seven,0,1,nine,one,one,1,1,three,0.865924725036467,1,seven,eight,0,two,0.611381381992663,two,0.78200452546824,1,0.439464192222508,four,0.403083240013164,0.42006495569557,0.627825559317476,one,one,0.630354434006636,0.61326062048259,0.743514462835153,seven,1,1,0.127844804254111,0.454127890511388,0.48755107002359,one,1,six,five,1,0.437059980681633,five,six,one,six,0,1,0,eight,one,one,0.3552360366508,three,0,1,0,0,0,0.0837636204486832,five,1,0,two,0.736319391450443,0.918081237212538,0.992903956032898,four,0,0.440793831121462,one,0.452094038091475,five,four,five,1,two,1,0,0.935821298488133,1,0.611748381613054,0.0594664778592008,0,1,0.235931415747295,0.229857201861647,one,one,one,0,1,0.409980539604087,two,four,three,1,one,0.684631084012438,0.695357257815808,0.589607681839952,0.306235809862104,three,four,1,0.701306544464627,1,three,0,two,1,0.845679136078252,0,0,0.0134315702654906,0.866917751615794,one,three,one,three,1,three,0.786689856461868,four,four,1,0.0915289329509855,one,two,two,one,0,four,two,0.74998986627071,0.855848157804508,four,1,two,0.36882977946706,0.662385816792047,0.806754108895769,four,1,0,0.0448878249059854,0,one,0,five,five,0.23077643969838,0,three,0,two,three,one,0.035620164816642,0.425828465093359,0,one,0.0651671227588391,1,three,one,1,0.150430559287365,0.335141469039569,0,0.165642194351536,0,0.952144656473554,0.514143565607939,0,0.27790062235994,0.00125109369159671,1,0,three,0,0,two,three,0.453156208093535,1,0.627424655175976,six,0,0,0.342509888017645,0.71580493384243,0,0,0.114439718164559,one,0.739873739704378,0.539972018835484,0,0.407316810084409,0.0572225199989159,0.629751089536252,1,0,0.513653845521089,0.446920916035281,two,four,1,four,four,two,0.958810246193353,1,0.979429893068264,1,0,0.296088007358239,six,0.715613935096917,three,four,four,1,0,0.877572992999596,1,0,0,0.368697607834932,0.802711658430588,0.0546354628875332,0.206821940099577,0.328608942086461,1,1,0,three,1,0.36499062380478,0.137542169227497,0,0,0.355386502106618,0.0365268512875697,seven,0,three,two,four,0.134243251192218,0,seven,0,five,0.749516164154367,1,0.801011936828439,0,0.363338345527096,three,0,0.259547210327921,1
three,1,0,1,0,1,1,three,0,1,0,0,0,0,0,three,three,three,0,1,1,1,three,0,0,1,1,1,three,0,0.0186546321323683,0.572476204282874,0,0,0.346686876090825,two,five,four,1,0,one,four,two,0,0,two,0.860634159337311,0,four,five,0,three,0.291074524971036,three,0.639063306934519,1,0.244429764353866,five,0.279865612344642,0.720408059595735,0.844454137516738,two,two,0.679293932826877,0.514716814884978,0.719260088917517,five,0,0,0.943802024086709,0.829759770841242,0.630138338196638,one,1,four,one,1,0.486274012327431,two,four,one,three,1,1,0,eight,seven,three,0.600406233875808,one,0,1,0,0,0,0.313960022433711,four,0,1,seven,0.94691060297051,0.410725729901647,0.0460591787796322,three,1,0.0618567964396446,three,0.602149424418225,two,seven,five,1,six,1,0,0.0188069622485605,1,0.0265831075865207,0.989720144199447,0,1,0.943228010373973,0.712069452023629,one,three,four,1,1,0.62748670145241,one,two,six,0,three,0.662295805783393,0.792717304173588,0.643968186929803,0.0191069117250661,two,four,1,0.701794415730369,0,one,0,five,0,0.841273609912764,0,1,0.336091441391947,0.285177834944788,four,two,six,one,0,one,0.112423395490942,two,six,0,0.839950368809593,eight,three,five,five,1,two,one,0.0665291118101072,0.187741011630207,two,0,four,0.444543677616338,0.641985677617065,0.553909850501951,three,1,0,0.875973529726753,1,two,0,three,three,0.845288120112047,0,one,0,four,three,five,0.361350612017279,0.605919890179346,0,two,0.592733211666391,0,two,four,1,0.879905173528559,0.38725450045723,0,0.0614916922089686,0,0.855949234263484,0.0774031696976133,0,0.583877164255967,0.0480671814047039,1,1,three,1,0,one,five,0.923210114467928,1,0.273223731940213,two,0,0,0.838912590806966,0.0492775169977547,1,0,0.0907482085990969,two,0.714882706051018,0.0812433500560381,0,0.448496862392021,0.844769853106628,0.911445572846239,1,1,0.761287904639129,0.462374237266681,two,three,0,two,two,one,0.130870579750882,1,0.182820059520335,1,1,0.739921423214089,six,0.607343802286953,one,one,four,0,0,0.0746237450400341,1,0,0,0.128634667752892,0.237737791644135,0.532893152443224,0.393223021212533,0.405673376111623,0,0,0,two,0,0.418911959990664,0.785262566592409,1,1,0.904866000978352,0.483746710891071,three,0,four,two,three,0.862186253390957,0,five,0,two,0.461622356209916,0,0.620222759283681,0,0.124901486737437,four,1,0.012044273685322,0
three,1,0,1,0,1,1,three,0,1,0,0,0,0,0,three,three,three,0,1,1,1,three,0,0,1,1,1,three,0,0.850330432212633,0.463094733391847,1,1,0.978437869821391,one,one,two,1,0,nine,one,five,1,0,three,0.9221939644617,1,seven,six,0,two,0.0122871368792905,two,0.536241991408468,1,0.181066297596985,seven,0.16982908579949,0.441232608312039,0.0983377618594273,three,one,0.491997615855713,0.270444259059182,0.897641631776999,three,1,0,0.875801561696351,0.773655111916436,0.478347465609866,three,1,four,five,0,0.118976652875781,five,two,one,two,0,0,0,four,three,three,0.790584662341689,two,1,1,0,1,1,0.924369573154679,four,1,1,three,0.375386864281359,0.277699806834944,0.283187704560154,one,0,0.916771997868246,three,0.277100719700311,seven,four,nine,1,one,1,0,0.720235050955207,1,0.26243229723194,0.275893274286821,0,1,0.28257455585341,0.337964727173568,three,two,one,1,1,0.0974104247020754,one,three,six,1,two,0.466372552469077,0.736371185281517,0.785681775755792,0.492639750876531,one,nine,0,0.632015480074774,1,three,0,four,1,0.0856232518469557,0,1,0.431598972582087,0.980210306868386,two,two,five,four,0,two,0.863599970761174,four,six,1,0.879302538235995,two,two,five,five,1,four,one,0.374663220234116,0.541335777324924,four,1,three,0.00626984288096932,0.645515231602113,0.694095125240615,two,0,0,0.050546747482609,0,two,1,two,three,0.578069322993332,1,four,1,two,two,four,0.77979053766229,0.441040564303031,0,two,0.0441926793940943,1,one,three,1,0.935216776373255,0.444988986440819,1,0.722394225944313,1,0.260246564857389,0.096458569750542,1,0.436090942785432,0.175079526827184,1,1,one,1,0,three,three,0.77448740657636,1,0.700396273507047,three,1,0,0.682499849088016,0.314777773571096,0,0,0.307874243843677,one,0.260453682075745,0.761539943746481,0,0.855496476365359,0.656517728576042,0.166191442876676,0,0,0.328045557706721,0.706513771746284,nine,three,0,one,three,four,0.411673900139745,1,0.473231199900907,0,1,0.909049098211661,one,0.456955195879398,one,six,four,1,0,0.523848201561278,0,1,0,0.747046005246661,0.689921388577548,0.843328012948803,0.300950256381348,0.980304156953721,0,0,0,one,0,0.625949501788949,0.590903701769173,1,0,0.32902531340931,0.407985505344055,one,1,one,two,six,0.444660265766214,0,three,0,one,0.306523292882914,1,0.464529049712412,1,0.332774313365104,seven,1,0.768141289896758,0
