ndata87,cdata94,bdata47,cdata21,cdata98,ndata27,bdata86,cdata15,bdata14,cdata1,cdata61,cdata88,cdata19,cdata59,bdata60,ndata70,bdata16,cdata73,bdata38,cdata11,bdata24,ndata22,bdata50,cdata68,bdata90,bdata15,bdata31,ndata12,bdata64,ndata36,bdata10,ndata50,bdata4,cdata6,cdata76,bdata32,ndata33,cdata92,cdata71,bdata26,cdata20,cdata43,ndata81,bdata92,bdata81,bdata73,cdata33,ndata41,ndata31,ndata3,ndata9,bdata75,bdata70,bdata82,cdata82,bdata28,ndata76,bdata33,cdata52,cdata55,bdata61,bdata17,cdata96,ndata94,bdata43,cdata25,ndata4,cdata2,cdata77,bdata88,ndata47,cdata67,bdata37,cdata54,ndata61,ndata44,ndata29,bdata58,cdata28,cdata5,cdata38,cdata100,bdata80,ndata90,cdata66,bdata27,ndata93,cdata72,cdata41,bdata94,ndata51,bdata42,ndata86,ndata48,cdata22,ndata88,bdata1,ndata96,ndata77,bdata25,cdata74,cdata90,ndata2,cdata47,ndata15,cdata48,ndata35,ndata63,cdata37,bdata53,ndata68,ndata11,bdata48,ndata40,cdata57,cdata40,cdata85,bdata3,bdata9,ndata73,ndata71,cdata30,cdata16,bdata45,bdata21,cdata99,cdata50,cdata63,ndata66,bdata78,ndata5,cdata84,ndata34,bdata68,cdata17,ndata14,ndata83,cdata58,ndata98,bdata83,cdata29,bdata97,ndata6,bdata5,cdata81,bdata62,ndata60,cdata53,ndata10,ndata80,bdata89,bdata2,bdata66,cdata69,cdata97,ndata17,cdata32,ndata49,bdata35,bdata79,cdata45,cdata31,bdata98,ndata62,ndata99,cdata75,ndata38,bdata8,bdata54,bdata85,ndata18,ndata21,ndata13,bdata95,ndata39,bdata39,cdata18,bdata69,ndata55,bdata100,cdata36,ndata100,bdata87,ndata56,cdata23,ndata1,bdata22,bdata44,bdata11,bdata20,ndata97,bdata59,ndata32,bdata55,cdata78,cdata83,bdata18,ndata45,cdata62,cdata42,bdata76,ndata52,ndata78,ndata75,ndata26,bdata51,cdata3,ndata92,bdata52,cdata27,bdata67,ndata28,ndata58,bdata63,cdata26,bdata30,cdata14,ndata30,ndata46,ndata59,bdata84,cdata87,cdata44,bdata29,cdata86,ndata64,ndata19,ndata84,cdata79,cdata46,ndata42,bdata49,cdata35,ndata37,ndata53,cdata49,bdata40,ndata74,bdata72,ndata24,bdata12,bdata93,cdata12,cdata56,cdata13,ndata79,bdata77,cdata93,cdata80,cdata34,cdata4,bdata13,cdata9,bdata34,ndata95,cdata60,ndata65,ndata85,ndata67,ndata69,bdata6,ndata89,cdata39,bdata65,ndata82,cdata8,cdata64,bdata56,ndata25,ndata91,cdata91,bdata19,ndata57,cdata65,bdata91,bdata7,cdata24,bdata71,bdata57,ndata72,cdata7,cdata95,bdata41,bdata99,cdata51,bdata36,bdata96,bdata74,cdata89,ndata20,ndata7,bdata23,cdata10,ndata23,bdata46,cdata70,ndata43,ndata16,ndata8,ndata54
0,three,1,three,three,0,1,three,1,three,three,three,three,three,1,0,1,three,1,three,1,0,1,three,1,1,1,0,1,0,1,0.722062359401395,1,five,seven,1,0.394758151245152,three,four,1,five,four,0.432757697505413,1,0,1,two,0.341845861286943,0.907972516695081,0.174726243101443,0.334615659808208,1,1,0,one,0,0.975467378307606,1,five,two,1,1,two,0.45092062096336,1,five,0.800128517858943,three,four,1,0.496899880337614,three,0,one,0.694374081916908,0.802105183339649,0.826467871191084,0,seven,four,four,four,1,0.390037585993342,five,1,0.525415021077032,two,seven,1,0.528804646033331,1,0.741124215207341,0.238802429364019,four,0.561890322588679,0,0.189421555278347,0.502388631316022,1,four,six,0.54935509585334,six,0.811039546927601,two,0.155252844191642,0.142397066542139,two,0,0.28791159280834,0.966642761258165,0,0.193933987320174,one,three,two,1,1,0.127994575600934,0.159041902020253,one,five,1,1,one,four,one,0.0319157385459408,0,0.548257401412261,two,0.308357394044905,0,six,0.216897378129251,0.68911364677678,two,0.148625508447021,0,four,0,0.983833966865514,1,two,0,0.664651822974831,five,0.666157529552534,0.306578589880383,0,0,1,two,two,0.10399315320256,one,0.746580612586075,0,0,three,one,0,0.775746575357249,0.521761179645569,two,0.87750488017487,1,0,0,0.0379142206031781,0.571860877101404,0.330865939679127,0,0.180700255659111,1,two,0,0.66879433553,1,one,0.8533096143643,1,0.65160302795034,one,0.0791239336320458,0,0,1,1,0.719889265300197,0,0.443101470909997,1,seven,five,1,0.548255236762715,two,five,0,0.0150085234917964,0.607284793323165,0.513701264975928,0.378912690380917,1,seven,0.617743474692281,0,four,0,0.872294486577547,0.0883938538347672,0,two,1,one,0.00428453582460708,0.164739017383115,0.789969699199892,0,one,one,0,three,0.625656381445956,0.333150999808118,0.511523613716303,one,five,0.885623066312521,0,three,0.491555926720166,0.377856734420414,three,1,0.769171530893463,0,0.965323151746377,0,0,five,five,two,0.357699495745037,1,two,six,one,one,1,two,1,0.787415868872857,one,0.885016521874975,0.455922079328817,0.0531697375319216,0.0426122327257586,1,0.193813284109268,four,1,0.35003425728552,four,one,1,0.872452161770782,0.870035128424822,four,1,0.270255354332228,three,0,0,two,0,0,0.519076667066638,two,three,1,0,two,0,1,1,four,0.668328611437854,0.309243866804043,0,five,0.499329034086753,1,two,0.0833287158852122,0.899297515755367,0.661126989078137,0.175004487265496
0,three,1,three,three,0,1,three,1,three,three,three,three,three,1,0,1,three,1,three,1,0,1,three,1,1,1,0,1,0,0,0.0141181856668504,1,five,eight,0,0.277739176431208,seven,two,0,two,six,0.570514731815937,1,1,1,one,0.905257448588103,0.935241183217574,0.420331187018823,0.787542576482922,1,0,1,two,0,0.203548634986562,0,three,one,0,0,six,0.602023637865309,0,one,0.328179248478198,four,two,0,0.483993825315057,four,1,three,0.444407447627154,0.316549632593664,0.353591780116527,0,two,two,six,four,1,0.468977245042129,one,0,0.851926715557934,two,one,0,0.711403903055092,1,0.970868642104781,0.684915548693512,three,0.36743406654924,1,0.544680770529112,0.560653222237605,1,seven,one,0.243133358177785,one,0.0944098999596401,three,0.293617391236874,0.274582686831142,two,1,0.794743489751019,0.46274976309949,0,0.296590790528877,three,two,five,1,0,0.379434145093269,0.52697214440993,nine,one,1,1,four,three,eight,0.849785708404835,1,0.449951248741483,four,0.433612732559249,0,six,0.247797054254152,0.662211616331008,one,0.663242969271941,0,six,1,0.95345453641539,1,seven,0,0.671407750435694,one,0.486538925488546,0.615786065702022,1,1,0,one,four,0.118958514205709,three,0.55260661973309,0,0,three,one,0,0.448135945662607,0.75102885538417,three,0.402011106034051,1,1,0,0.688226117253563,0.943033745438893,0.575822458877079,1,0.427274180828566,1,two,1,0.97379855022329,1,two,0.917756673297625,0,0.547421029759838,two,0.6003688272923,0,0,1,1,0.0661109525842734,0,0.0244144717172579,0,five,five,1,0.485903958131754,six,four,1,0.258125291354818,0.652972492495758,0.877452896309677,0.734779819465642,0,two,0.327830233896287,0,four,1,0.562545620261065,0.520350794967569,0,five,1,one,0.912253758260135,0.456281901709375,0.248463829157111,1,four,three,0,one,0.913134529087757,0.673586755426922,0.637233566165494,one,two,0.240075014027057,0,four,0.277152581337077,0.634778186832538,one,0,0.120572008647526,0,0.50520788925586,0,1,one,one,eight,0.181323365525992,0,two,six,two,two,1,four,0,0.1599211663399,two,0.163189885120625,0.658783661384658,0.491584694464792,0.410370142709329,1,0.656150436263804,one,0,0.354921279625963,two,one,1,0.224323487065803,0.391746115605278,two,0,0.925727011893719,two,0,1,two,0,1,0.67029789262356,three,four,1,0,two,1,1,1,four,0.407262983671262,0.765960959675732,0,two,0.428808504733462,1,one,0.872858825177726,0.385104670822578,0.727147853371802,0.25118182940782
0,three,1,three,three,0,1,three,1,three,three,three,three,three,1,0,1,three,1,three,1,0,1,three,1,1,1,0,1,0,0,0.453188066662267,1,three,seven,1,0.137509854443085,six,four,0,six,five,0.822911200223526,1,0,1,two,0.611533914402976,0.252929013798278,0.543717949335975,0.841727876685549,1,1,0,four,0,0.0398729047393895,0,three,three,0,1,five,0.689171456146909,0,one,0.64682417420449,nine,four,1,0.64681719425627,three,0,three,0.939752950679085,0.631705056263374,0.774857758419447,1,five,four,two,two,1,0.445460243596972,one,0,0.120530425829441,seven,one,1,0.765664913584656,1,0.0956002937959456,0.951673475058892,two,0.29161767812592,1,0.75420711621236,0.873818258924397,1,seven,four,0.070047361399632,six,0.281540531689689,two,0.724366737367178,0.123322651221368,three,0,0.17075181240094,0.0488288407493169,1,0.519753439402152,four,four,seven,0,1,0.23432303389362,0.710026970053164,eight,seven,0,1,two,three,one,0.807578570142125,1,0.7163610155431,two,0.584262515021754,1,two,0.489609368339404,0.718254518577631,three,0.0336111725056814,0,five,0,0.431348114403243,1,seven,0,0.852157000663295,two,0.443307176795864,0.355275227547379,1,0,0,four,three,0.933279847236694,two,0.529437643988968,0,1,two,four,0,0.721054453475522,0.151350812012569,one,0.674792431192737,0,0,1,0.444652933652802,0.861139578787901,0.581524569522446,1,0.855192075110187,0,three,1,0.28856815988642,1,three,0.343042577240313,1,0.0443781990232854,four,0.535052442731725,1,0,1,0,0.673744601393566,0,0.971068941460144,1,six,two,0,0.0504516261373588,three,five,0,0.98811553211409,0.218626397097706,0.869568130583591,0.172996178976047,0,three,0.461982715253769,1,nine,0,0.0181479704686029,0.735334818371521,0,one,1,three,0.612698661106626,0.115046560169019,0.641479652558794,1,one,two,0,four,0.119523966850651,0.245858975919146,0.171900886978616,three,five,0.195827548839639,1,six,0.083355719361152,0.945258317846915,one,0,0.725609609093014,1,0.285570707863367,0,0,four,four,one,0.367573970857461,0,four,two,three,six,0,one,0,0.283772991547818,one,0.952549590570097,0.843319597691787,0.157877962944232,0.875345622131911,1,0.127404853934837,three,1,0.524609680842611,two,four,1,0.588127749705542,0.509581302740331,eight,0,0.941149288325762,three,0,0,three,1,1,0.168522824342337,two,two,1,1,three,0,0,0,two,0.232550729633931,0.665387116231678,0,eight,0.675102800283657,1,one,0.912368899672672,0.902499833321659,0.0999114496866221,0.526752826131849
0,three,1,three,three,0,1,three,1,three,three,three,three,three,1,0,1,three,1,three,1,0,1,three,1,1,1,0,1,0,0,0.30830324226935,0,five,four,1,0.512869909639556,five,three,0,two,six,0.292506526869915,0,1,0,one,0.332249819676369,0.262977697802452,0.732654687086967,0.779879131035377,0,0,0,two,0,0.499583955088806,0,five,four,1,1,four,0.724130050690647,1,six,0.313578779169972,six,three,1,0.573362589816879,three,1,two,0.32162093524447,0.969435726812132,0.120660857949206,1,six,five,two,four,0,0.977047830648325,two,0,0.00795580037740307,one,three,1,0.4587134144916,1,0.813836275721151,0.548276273223382,three,0.292443690409878,0,0.924308982517158,0.24642063910771,0,three,six,0.0401079431838456,two,0.354562964791641,three,0.0792915581180276,0.469470077514343,two,0,0.934951730650955,0.407214737892066,0,0.102954736129991,one,five,three,1,0,0.0696012798434102,0.922167517890276,three,five,1,0,one,one,one,0.690963561033525,0,0.949972119203768,four,0.0891955253064517,1,seven,0.803322812006489,0.599505834433502,two,0.314091948666744,0,one,0,0.920301220561094,0,one,0,0.962147650803396,seven,0.943681383801652,0.0493586872673838,1,1,1,five,three,0.705916328525884,one,0.740320771618237,1,1,two,four,1,0.984732864716277,0.916275659253834,four,0.988584843501425,1,0,0,0.525212946700112,0.309735367727268,0.397579083580114,0,0.313912361951001,0,two,1,0.0973255260640373,0,four,0.708534550775179,1,0.485283873628555,two,0.358551029166325,0,1,1,0,0.835221152163758,1,0.130801771789021,0,four,two,1,0.817777336518257,one,four,1,0.808432228043055,0.0304748584256804,0.030880599434588,0.174127805122825,1,three,0.413154863514106,1,one,0,0.869336963293465,0.298745828542364,1,four,0,seven,0.0623739452104889,0.954817055351325,0.23509105533467,0,three,two,1,three,0.0847500036998845,0.784267113099367,0.374005176281737,three,five,0.377288352452416,0,four,0.854003514698047,0.960705794518863,two,1,0.287806746509046,0,0.14435340130709,1,1,two,five,two,0.987090930347686,0,five,four,one,five,0,three,0,0.0280644113592844,two,0.997649230274249,0.785480227132166,0.304837758389095,0.0334591296570185,0,0.949403784172867,three,1,0.195544162855812,one,three,1,0.894940133169684,0.83269222563938,three,0,0.585061396285417,one,1,0,two,0,0,0.682922800340841,two,three,1,1,one,0,1,0,four,0.599504224421846,0.173591199044908,1,six,0.0338722317610425,1,three,0.469908537870464,0.596592885796157,0.546942836721707,0.557808122003062
0,three,1,three,three,0,1,three,1,three,three,three,three,three,1,0,1,three,1,three,1,0,1,three,1,1,1,0,1,0,0,0.0113608445191823,0,two,five,0,0.47790995627714,two,six,1,two,two,0.536337874869093,0,1,1,three,0.247589615556095,0.903370405262435,0.393324531382212,0.621820982376716,0,0,0,one,1,0.243355786274801,1,one,one,1,1,six,0.223630564561406,1,one,0.54594588628365,six,four,1,0.866348032835786,four,1,one,0.631840118723844,0.127865261390244,0.576376382915946,0,two,four,five,three,0,0.900884113766005,five,1,0.392695986943781,two,two,0,0.865230100401998,1,0.249533725487406,0.506188603985459,four,0.363777272596976,0,0.765815801107934,0.321734243948496,0,three,five,0.227173285565109,one,0.605427873669124,three,0.124783652431679,0.718314170693181,two,0,0.0212843660221144,0.973105670068412,0,0.0075518562832424,one,four,five,1,1,0.121652695192424,0.712055618511468,three,six,0,0,four,four,one,0.276527450395811,1,0.360495324361068,three,0.87736317328288,0,four,0.835295668694555,0.560896714774938,three,0.0744880275828758,1,three,0,0.829579007414111,1,four,1,0.847155867584424,eight,0.694482776856812,0.17450819430678,0,0,1,two,two,0.371185798706355,two,0.808971471582919,1,0,one,four,1,0.967039852983801,0.821389084837045,four,0.522284360177607,1,0,1,0.0660335698807379,0.914537550200718,0.0437637628291316,0,0.700791285336603,1,four,1,0.459534506989874,1,two,0.871591626712499,1,0.47932711216594,three,0.30251057215866,1,1,1,1,0.81503178173134,0,0.756344532961365,0,five,three,0,0.527753872336693,one,five,0,0.23929515523327,0.986979628712829,0.655301350971599,0.333157837869214,0,two,0.760743526227402,0,six,1,0.821782592969904,0.584192037250459,0,four,1,two,0.824607482062711,0.812778850668387,0.347685455697178,0,four,one,1,three,0.645249085501667,0.118152550963618,0.0250618778720343,two,one,0.15043766936153,1,three,0.757641517554626,0.702987930145975,one,1,0.108562255604125,0,0.549838570472578,0,1,two,two,three,0.604772490720951,0,one,five,two,five,0,four,0,0.290551100176203,five,0.139506268678309,0.141546718078539,0.872780853400895,0.180861440031673,0,0.229792041368792,seven,0,0.851833177902901,four,four,1,0.693904587553072,0.143547400625635,six,0,0.0604476371142756,two,1,0,eight,1,0,0.152540365768864,three,one,1,0,three,1,1,1,one,0.392475430248616,0.4634841844095,0,eight,0.696357956308387,0,one,0.507724578953532,0.971615671265887,0.824627960083024,0.610104419363452
0,three,1,three,three,0,1,three,1,three,three,three,three,three,1,0,1,three,1,three,1,0,1,three,1,1,1,0,1,0,1,0.786072444018899,1,five,five,0,0.0261856063987687,two,six,1,seven,three,0.421905982029758,1,1,1,two,0.601314080166239,0.874944374438404,0.571839809021023,0.175525969947989,1,1,1,three,1,0.647678044433597,1,four,one,1,0,three,0.839402953144819,1,two,0.966950182091299,nine,one,1,0.865733830875786,four,1,one,0.635418838822887,0.485162637233889,0.638555830809601,0,one,one,six,two,0,0.25674005906986,two,0,0.911223795593798,two,three,1,0.0353047584196524,0,0.978539772362738,0.435194330395712,two,0.181489650603319,1,0.785597260920284,0.799157778236043,1,four,one,0.382905173940042,two,0.963313476410776,three,0.210643392908817,0.054877978122204,two,1,0.432696030037872,0.169101068135032,1,0.700340057008054,two,one,seven,1,0,0.626700693985204,0.124925870165732,four,seven,1,1,one,two,five,0.615544505801248,1,0.367646630197495,four,0.323093591950757,0,two,0.274205139170945,0.955665173604922,two,0.631442747028991,1,five,1,0.46073563136554,1,four,0,0.322452215581337,seven,0.0916846218332578,0.972487440377158,0,1,1,five,three,0.317377162240673,three,0.893542302181368,0,1,three,three,1,0.756969005949767,0.076829704699982,one,0.597164234295426,1,0,0,0.77467354799109,0.232783022005983,0.329582874287194,0,0.941080541634267,0,two,0,0.616798473547605,1,two,0.0215493922041307,0,0.0977883672020081,four,0.403634421004895,1,1,1,1,0.681774122879031,0,0.274650720706874,1,five,five,1,0.637755971959036,one,three,0,0.588647695409223,0.30923653292699,0.0858520170392066,0.688936187292245,1,seven,0.969304653476537,0,six,1,0.800228133849212,0.689730124095748,0,two,1,two,0.981494705931398,0.382063304301591,0.155597090548783,1,four,three,1,three,0.864608925677102,0.000150509382126573,0.875084903257797,one,three,0.235757930332124,0,three,0.941518114918731,0.0667902520541044,three,0,0.262707910890902,1,0.726529989103667,1,0,four,five,seven,0.770132016803458,1,five,six,one,one,0,two,0,0.986191916102686,two,0.607313006707298,0.959213132165291,0.481303886903262,0.132267617363559,1,0.25002561821793,three,0,0.880107656931115,three,two,0,0.695603127991883,0.273500506256836,one,0,0.228152032677647,one,1,1,eight,1,0,0.285341958414852,two,seven,0,0,three,0,0,1,five,0.166853278595221,0.559239433738034,0,nine,0.312501515810697,0,five,0.783614323908593,0.820510995610307,0.380529898901663,0.45538713540073
0,three,1,three,three,0,1,three,1,three,three,three,three,three,1,0,1,three,1,three,1,0,1,three,1,1,1,0,1,0,1,0.688525767290425,0,three,seven,1,0.28072232115237,seven,five,0,five,three,0.651557852161751,1,1,1,one,0.751213619124796,0.173527508352807,0.46483373272219,0.524863077670376,0,1,0,three,1,0.601533318504782,1,five,one,1,0,one,0.0518787783698722,0,two,0.142516138647361,nine,four,1,0.0539791915150537,two,0,three,0.929996001779372,0.288990237160291,0.969253325335213,1,five,one,two,five,0,0.713630308774868,five,1,0.380449596442252,six,seven,1,0.621870951158652,1,0.778417413368661,0.51656835446597,four,0.239221002439342,0,0.811445792784999,0.0288913954483262,0,four,two,0.484870891217732,seven,0.913010095680019,four,0.45120533091727,0.77763742820973,three,0,0.796233473144334,0.184447547602917,1,0.0339231596580692,two,four,six,1,1,0.874408419709362,0.0663489206111505,two,five,1,0,one,one,one,0.872339949495872,1,0.591585376618486,four,0.642003055719294,0,four,0.925743402881359,0.323383274087722,three,0.941910874917718,1,three,0,0.837972830196284,1,four,1,0.42713823975578,six,0.200980083341685,0.677520903118932,1,1,1,five,three,0.212818799955937,two,0.86630687507851,0,0,one,one,0,0.602803008859569,0.601428115172136,four,0.00797418003206396,1,1,0,0.612239482653787,0.808370292954202,0.0937561938491565,1,0.546415359854267,1,five,0,0.971319951742532,0,five,0.938873756829719,0,0.335961672970674,five,0.123767994770868,1,1,0,1,0.864164521504802,1,0.520400142511841,1,six,four,0,0.0597545731582897,five,six,0,0.0419361811541367,0.27694148872598,0.142202007781252,0.0901265743973321,1,four,0.0744684814987486,0,two,0,0.0156384425650937,0.99491369994776,1,three,0,five,0.0131618614141316,0.210689689786396,0.731647567080506,0,four,one,1,four,0.0780649329407231,0.123908827613597,0.324359577892892,two,two,0.874033296679609,1,eight,0.553677141514136,0.26829869252044,four,1,0.987485042030015,0,0.491517106195441,1,0,one,one,six,0.339445361287695,1,four,two,one,four,0,one,0,0.782445586799819,two,0.264768886936922,0.526421608971798,0.566375040528307,0.478933525329011,1,0.350214327269982,two,0,0.877556948060992,six,one,0,0.94073037477455,0.755551932049029,seven,0,0.941248691983042,three,0,0,one,1,1,0.458751728885493,two,one,1,0,three,0,0,1,two,0.961775731982233,0.401409381232471,0,seven,0.218903241764004,0,six,0.506067505991513,0.865073306599437,0.95091673558758,0.473813830077529
0,three,1,three,three,0,1,three,1,three,three,three,three,three,1,0,1,three,1,three,1,0,1,three,1,1,1,0,1,0,0,0.909040014333538,1,one,two,0,0.0494211381464608,six,six,0,one,six,0.218351702419768,1,1,1,two,0.392227302417597,0.104686711678632,0.66027786850534,0.346221685800718,1,0,1,three,0,0.547453218682128,1,three,four,1,1,one,0.705523329679622,1,four,0.614257083767235,three,five,0,0.269232598095931,five,0,one,0.504338694173867,0.851262049619864,0.86467965195716,1,seven,two,one,two,1,0.943308644598468,one,0,0.0951861411674692,five,two,1,0.403440870088992,1,0.0626303055407494,0.98707051995978,one,0.0726822538380422,1,0.398594512905916,0.681989477390443,0,six,two,0.839229905529694,seven,0.0311268208626849,one,0.860920136751139,0.364139489267025,four,0,0.48991379317061,0.319168982190818,0,0.400679274209116,four,four,two,1,1,0.745786219893594,0.641151140797683,five,one,1,1,three,four,seven,0.79711893243713,1,0.971269213467622,four,0.709194171674005,1,three,0.0777391780022175,0.497903373800525,three,0.14668430490888,1,three,1,0.284971019643699,0,four,1,0.455999342085163,five,0.356319548715045,0.149648689612132,1,1,0,two,two,0.600651404900648,two,0.0969612293288792,1,1,one,four,0,0.37914955889463,0.363684851007582,two,0.224410153541151,1,1,1,0.555582692445492,0.744580928983156,0.221056322453232,0,0.666657595724885,1,six,1,0.806911110182926,1,two,0.517829717012135,1,0.756251125558733,five,0.335276711931733,0,1,0,0,0.326377595482902,0,0.713055083974749,1,three,three,1,0.474535070202081,two,four,0,0.77902520744701,0.563767918218307,0.602377876599091,0.903476076231393,0,eight,0.0481253285102765,1,nine,1,0.000114504340659738,0.353648440078462,1,three,0,four,0.735533625385347,0.327868111739352,0.616489411241606,0,four,two,1,four,0.760766669865293,0.653418398641049,0.0304929522937736,two,four,0.221425595656091,0,eight,0.193530994118382,0.605148351048136,three,0,0.671579280377501,0,0.114166365580504,0,1,three,five,one,0.159674169079746,0,one,six,three,four,1,three,0,0.155816200933691,four,0.981583705096955,0.406141567190514,0.206805980021505,0.820074924196827,0,0.635715850081527,five,0,0.248541541209766,two,three,1,0.604824101098408,0.646277510771438,four,1,0.225354518585136,four,0,1,eight,0,1,0.839956692545184,two,five,0,1,three,1,1,1,three,0.729184365549858,0.226958818345963,1,two,0.271341149885392,1,five,0.625798404914243,0.705331781232994,0.173926609054895,0.678439883542885
0,three,1,three,three,0,1,three,1,three,three,three,three,three,1,0,1,three,1,three,1,0,1,three,1,1,1,0,1,0,1,0.118002779772993,0,two,eight,0,0.352682157924003,two,four,0,two,two,0.29547417693219,1,1,0,three,0.998910209771792,0.318707688518889,0.707621285084063,0.525751142765163,0,0,1,three,1,0.694119940272466,1,one,one,0,0,one,0.188858655998199,1,two,0.298161665286378,three,one,0,0.650849422030223,four,0,one,0.638695993081341,0.946818285862909,0.863176356528107,0,three,four,two,three,1,0.0195956119690979,three,0,0.663933671632636,four,three,0,0.285651191865073,0,0.926203268730411,0.264806112578986,two,0.374700307137204,1,0.752209877622294,0.811478700895015,0,one,six,0.258762003212872,two,0.566581072862836,three,0.385155138914,0.420436549138215,one,1,0.762244551600989,0.535171228224383,0,0.170409261641579,four,five,five,1,0,0.823423891610984,0.0884271175457259,eight,two,1,0,one,one,six,0.251239700730953,1,0.639834033513804,four,0.963911529979034,0,four,0.485888864351515,0.88976254071156,two,0.837340184804858,1,three,0,0.605165515852758,1,five,1,0.617004715776465,two,0.171484420047333,0.88870138933897,0,0,0,five,four,0.348192847114414,three,0.650040840879813,0,0,two,three,1,0.0851843354570483,0.675151807068993,one,0.849323520157899,1,1,1,0.708580055141528,0.197924488745792,0.13291467396907,1,0.410891188585577,1,six,1,0.269838025581044,0,five,0.859183097413334,1,0.311241525244258,two,0.182290903574962,0,1,1,1,0.897574568971579,0,0.14089010350769,0,four,two,1,0.818795637419956,three,six,1,0.0747805878766473,0.929708717862371,0.266587923669033,0.895832728865443,0,five,0.151172760630236,0,seven,0,0.894989260734513,0.813261295269994,1,two,1,four,0.281939384141627,0.868338382111572,0.190959197348572,0,three,three,0,three,0.825488426894654,0.584213547912674,0.941817650041205,two,five,0.61341732893659,1,seven,0.798852756453506,0.469219081650858,three,0,0.90411946056081,0,0.942821366057031,0,0,two,five,two,0.244771018701463,0,five,seven,one,three,1,three,1,0.964519166014337,three,0.217130926701603,0.536406174879047,0.0991432585853255,0.133922042601215,0,0.59126244684314,four,1,0.369667908754269,four,three,0,0.456146823345712,0.663651880056497,two,0,0.221974589192553,one,0,1,five,1,0,0.55926212068003,two,two,1,1,one,0,1,1,three,0.387850644356361,0.498018668457023,0,six,0.187867060430892,0,five,0.663514949132741,0.884740494736959,0.0647968468307607,0.720959646257621
0,three,1,three,three,0,1,three,1,three,three,three,three,three,1,0,1,three,1,three,1,0,1,three,1,1,1,0,1,0,1,0.968340679748437,1,five,four,0,0.152290599485472,two,five,1,eight,seven,0.424375024621489,1,1,1,three,0.254783175831226,0.592190908981991,0.04661612741562,0.531289164114757,0,0,1,two,0,0.159671794590454,1,two,one,0,1,three,0.771388442173449,0,six,0.4100419065776,four,one,0,0.246904747302039,three,0,two,0.712760647030516,0.82793165743966,0.275884444701657,0,two,three,one,two,1,0.0478558536442439,four,1,0.914039617192451,six,five,0,0.798499696375463,0,0.17298650253046,0.0524746118061644,one,0.146922109492279,0,0.0082842118304266,0.356946534088556,0,five,two,0.690687185955222,two,0.468211724898424,two,0.338285010446321,0.167088993565107,four,1,0.9976293276299,0.992835395031514,0,0.211011796598759,three,two,three,0,0,0.0783000821593236,0.271883488266432,five,two,0,1,one,two,five,0.0792408034916789,0,0.0831359746606984,four,0.86330462803574,1,five,0.239212470779965,0.407284061914176,three,0.289911927926089,1,three,0,0.141243335577647,1,five,0,0.725963918529204,one,0.305967515803992,0.0948449156370473,1,0,0,four,five,0.198936223516725,one,0.284577348616738,0,0,two,three,1,0.625577283374624,0.329143353259379,four,0.993793525259476,0,0,1,0.715351514738374,0.733395298618386,0.125787077522297,0,0.195027186921712,0,three,1,0.14929478427314,1,four,0.904683819856463,1,0.129036708248029,five,0.938610080432968,0,0,0,1,0.276217228014992,1,0.961407960430733,0,six,three,1,0.181205661539575,six,four,0,0.756939517425578,0.480574117695416,0.722616386822357,0.433652048245099,1,four,0.71185990759133,1,two,1,0.26371886514638,0.00954337701781782,0,four,0,two,0.548191696749267,0.365313141098092,0.876606963579106,1,one,three,1,one,0.299206741869466,0.377295936466616,0.0157716670639335,one,two,0.0493421715665576,1,seven,0.45298660036207,0.344335746676129,one,1,0.561314451998671,1,0.720339390285904,1,0,three,five,six,0.266603408859408,0,four,six,three,eight,1,two,0,0.555543470466408,one,0.300125977586484,0.45610628126624,0.428367150852847,0.688916597544736,1,0.0390011338889157,seven,1,0.41637472370373,three,three,0,0.700960233996072,0.144977432953436,eight,1,0.683699967060783,three,0,0,two,1,0,0.457272582107284,two,two,1,1,three,0,1,1,two,0.132392656226008,0.304272382370063,1,nine,0.040833825807353,0,six,0.45971630216927,0.70259527845706,0.716529236929193,0.554395899347819
