cdata18,bdata16,cdata89,ndata39,bdata83,cdata32,ndata92,ndata82,ndata68,ndata43,ndata12,cdata53,ndata96,cdata25,cdata60,ndata74,cdata38,ndata22,ndata23,ndata34,bdata27,cdata31,ndata49,bdata98,cdata11,ndata7,ndata26,bdata49,bdata76,ndata54,cdata27,ndata53,bdata50,bdata2,cdata2,ndata95,ndata67,bdata67,cdata36,bdata61,bdata13,cdata43,bdata89,ndata55,bdata68,bdata72,bdata25,ndata97,cdata62,cdata24,ndata62,cdata44,ndata16,cdata40,ndata30,bdata85,cdata29,cdata61,bdata88,bdata55,ndata72,cdata69,cdata26,bdata62,cdata86,cdata9,bdata32,bdata58,ndata73,bdata73,cdata67,cdata41,ndata44,bdata47,bdata22,bdata46,bdata84,bdata33,bdata31,bdata40,bdata97,cdata33,cdata3,bdata17,cdata70,cdata12,bdata51,ndata78,bdata28,cdata88,bdata75,bdata5,cdata64,ndata1,bdata3,bdata90,cdata13,ndata15,ndata17,ndata77,ndata38,cdata85,ndata10,ndata8,ndata59,cdata19,ndata85,cdata92,bdata42,cdata74,ndata25,ndata32,ndata61,cdata45,ndata84,bdata1,ndata46,cdata42,bdata45,cdata7,ndata4,cdata46,cdata66,cdata8,cdata76,cdata6,bdata70,bdata69,ndata100,cdata84,bdata66,bdata20,ndata9,bdata38,ndata69,ndata29,cdata4,cdata23,ndata13,cdata98,cdata90,cdata68,ndata21,bdata65,bdata26,bdata78,bdata6,ndata98,ndata14,cdata16,cdata59,cdata22,bdata44,bdata100,cdata28,bdata54,ndata87,cdata96,bdata23,cdata56,ndata57,cdata49,cdata65,cdata34,ndata33,cdata81,cdata30,cdata39,bdata43,ndata36,bdata24,cdata97,cdata5,bdata53,ndata20,cdata17,cdata87,cdata94,ndata41,cdata93,ndata40,cdata15,ndata58,cdata52,ndata24,ndata90,cdata80,cdata20,bdata77,ndata83,bdata35,bdata71,cdata58,cdata83,bdata52,bdata12,ndata37,bdata79,bdata34,ndata27,cdata91,ndata94,bdata99,cdata82,cdata21,cdata37,ndata70,ndata45,cdata1,cdata55,bdata30,bdata7,bdata81,bdata39,cdata47,bdata48,cdata72,ndata48,bdata21,ndata52,ndata80,bdata4,cdata63,ndata79,bdata63,cdata10,bdata74,cdata35,bdata29,bdata14,ndata86,ndata18,ndata93,ndata31,ndata89,bdata91,bdata87,bdata82,cdata57,cdata95,cdata79,ndata65,ndata66,ndata91,ndata11,cdata51,cdata100,ndata76,bdata41,ndata5,bdata59,bdata18,bdata9,ndata60,ndata50,ndata42,bdata92,cdata48,bdata11,ndata51,bdata60,bdata93,bdata8,ndata88,ndata81,bdata56,ndata64,ndata56,cdata50,bdata80,bdata95,ndata19,ndata28,cdata75,ndata2,ndata99,ndata47,bdata86,cdata78,ndata6,bdata10,bdata94,cdata54,bdata36,ndata63,bdata15,cdata77,bdata64,bdata57,ndata75,bdata96,ndata3,ndata71,cdata73,bdata37,cdata71,cdata14,cdata99,ndata35,bdata19
three,1,three,0,1,three,0,0,0,0,0,three,0,three,three,0,three,0,0,0,1,three,0,1,three,0,0,1,1,0,seven,0.879942503998595,1,1,four,0.879614357303268,0.624263164519727,0,six,0,1,one,1,0.101889678050531,1,0,0,0.205939916630747,two,three,0.452218869624403,one,0.683608877190648,one,0.536480305406143,0,two,four,1,0,0.269140978538074,two,two,0,five,one,1,1,0.446804609267968,0,four,three,0.399123648894526,1,0,0,1,1,1,0,0,three,two,0,four,four,0,0.50041701054317,0,one,1,0,five,0.636365652852779,1,0,four,0.389438053220629,0.414595858222873,0.473227293555987,0.769477364149635,five,0.978936149154411,0.316085173416282,0.898960930388554,eight,0.478996403238642,one,0,one,0.98244878620268,0.386632177010646,0.266992031773087,three,0.841107188185224,1,0.774453666925339,four,1,one,0.535643466968083,one,four,six,one,three,0,1,0.370152185638742,six,1,1,0.385707947072688,1,0.366164491438149,0.851556577540529,five,two,0.297843315973147,two,one,four,0.202889058112572,1,0,0,1,0.788826870694564,0.0426580733222077,three,two,seven,1,1,seven,1,0.868654143157521,eight,0,one,0.449378420073496,seven,five,five,0.32976342732111,five,four,four,0,0.208450947350481,0,three,three,0,0.930261216650299,three,three,seven,0.124151706132224,two,0.53387044993973,six,0.136109889178101,six,0.821908831785255,0.722313534576074,two,five,0,0.910964898159715,1,1,five,seven,1,0,0.317325648702473,1,0,0.483519023741584,three,0.0726772602341371,0,four,one,three,0.119269010778676,0.223102318769685,three,three,1,1,0,1,six,1,one,0.727074256416329,0,0.743918176543798,0.209038400312843,0,six,0.381247206658281,1,three,1,eight,0,1,0.382252739688478,0.584878784660431,0.685033610939519,0.151789846988925,0.673162746670968,1,0,1,one,four,one,0.920558018870447,0.751677219881629,0.72244504696702,0.896965029753555,three,four,0.413386453639765,1,0.185168216403742,1,1,0,0.934832040753481,0.963161968067659,0.577086052796971,0,two,0,0.547108730538285,0,0,0,0.734712425067012,0.0663506928175414,1,0.103110684176907,0.185666832131497,nine,1,1,0.887473902896885,0.0961445344243674,three,0.212199304105683,0.688006897076354,0.601642289596499,0,one,0.128103083964098,0,0,four,0,0.0367827637550392,1,two,0,1,0.99123920735127,1,0.404546097882681,0.12704165155824,one,1,seven,six,two,0.792568858520774,1
three,1,three,0,1,three,0,0,0,0,0,three,0,three,three,0,three,0,0,0,1,three,0,1,three,0,0,1,1,0,one,0.630539863481617,1,0,two,0.985569286577417,0.106046393982096,0,one,0,1,seven,0,0.403479012666217,0,0,0,0.208267054824054,three,five,0.115802437275979,one,0.0676930761772971,one,0.259240740797366,0,five,nine,1,0,0.921570471709336,one,four,1,five,two,0,1,0.176713796099409,1,one,four,0.240433053282538,0,1,1,0,1,0,1,1,three,four,0,three,two,1,0.387387359703162,1,three,0,1,one,0.881609022283239,1,0,two,0.889761557096371,0.183009394862226,0.996118020855654,0.385336428679454,one,0.806160026856546,0.411838905351304,0.78543907985967,three,0.914694489876614,four,1,one,0.985889679349692,0.348601150670168,0.7563083635042,seven,0.11184271344395,1,0.978605534125852,three,1,five,0.746840371949888,four,five,one,three,two,1,0,0.310934148104225,six,0,0,0.475071959713657,1,0.774255002141472,0.615084878480987,five,two,0.675071110183897,two,three,one,0.0133163377738857,0,0,1,0,0.855847958290974,0.693504412260074,two,one,six,1,0,six,1,0.851931461986391,three,0,three,0.946578202427466,six,five,three,0.245709561839557,two,five,three,0,0.548165239748478,1,four,two,1,0.878170934457555,one,two,three,0.170044180828407,one,0.569246888247645,seven,0.110596957685688,nine,0.450113365107617,0.0406466753037654,six,seven,1,0.694352190559782,1,0,three,one,0,1,0.507825427722176,1,0,0.978042745011185,six,0.976315173775123,1,one,four,three,0.55909325693908,0.797980997120576,four,three,0,1,1,1,six,1,five,0.0496751514405764,1,0.503000375372067,0.710512831028308,1,six,0.381986231346637,1,four,0,three,1,0,0.912779737239661,0.0842480764553996,0.55387834468942,0.790070834823326,0.997563201557549,0,1,0,one,three,seven,0.391148859474282,0.234652860862924,0.980272660991673,0.418121614425808,three,three,0.321005387732204,0,0.0927121219187049,0,0,1,0.630437661445762,0.261124243587007,0.0213306996229889,0,seven,1,0.0351904136708581,1,1,0,0.350378520256261,0.0546337120781579,1,0.184169388699813,0.563810864253209,four,0,1,0.625283576297907,0.705654569986825,two,0.236980710649242,0.0297677908151811,0.0233601717754572,0,one,0.11013935183506,1,1,two,0,0.684464835508684,1,two,0,0,0.637993451256375,1,0.00360544699389054,0.284613340935229,one,1,five,two,one,0.737468514300792,0
three,1,three,0,1,three,0,0,0,0,0,three,0,three,three,0,three,0,0,0,1,three,0,1,three,0,0,1,1,0,one,0.987214080514987,0,0,three,0.494236275382247,0.965848071466026,1,six,0,1,four,0,0.769883609371088,0,1,1,0.825155392522248,four,six,0.298439528486404,five,0.754733912882237,one,0.385240846868896,1,three,three,0,0,0.48575191978046,three,one,0,seven,one,0,1,0.41221919255799,1,one,four,0.110971374920185,1,1,0,1,1,1,1,0,one,four,0,five,three,0,0.4155668304274,0,four,0,1,four,0.954871320157844,0,1,four,0.946979489895736,0.767381239624111,0.881426180556701,0.533725036835999,one,0.191578094299255,0.537403329751955,0.149227387685319,seven,0.981492288770165,one,0,three,0.463970543018146,0.89727915975526,0.90949785401124,two,0.746808362096015,0,0.919184165872709,five,0,one,0.973123076285215,five,four,three,one,two,1,1,0.614710856619901,two,1,0,0.548599562817961,0,0.634138553342428,0.293204049486064,two,one,0.420738024493905,five,two,two,0.994226866556627,0,0,0,0,0.187334970033663,0.290570624526237,five,one,six,0,0,five,0,0.12117306947841,eight,1,three,0.134294787463437,two,four,four,0.441772873158004,four,eight,five,0,0.686023429124482,0,six,two,0,0.0796074683084003,two,four,seven,0.00627592412234101,seven,0.820354215345162,one,0.252776652135208,five,0.167014983663675,0.7227413653885,five,six,0,0.327910419229637,1,0,three,three,1,0,0.828308865082681,0,1,0.224693725138111,six,0.320908252110298,1,three,three,two,0.711892847878164,0.126622025283395,two,five,1,0,1,0,seven,0,two,0.737370832217476,1,0.0045575135478122,0.0479989471082655,1,six,0.18983409307958,1,seven,0,nine,0,1,0.596895521138245,0.904598225125589,0.0796857941457735,0.140598461120137,0.663572877811059,1,1,1,three,six,one,0.456576006174805,0.197199733319678,0.0374061495008522,0.884908529888348,two,three,0.934629963724711,0,0.0438933224965232,0,1,1,0.467707153273156,0.780729694531791,0.36825635521387,0,seven,0,0.438602662778788,0,1,1,0.751364578854238,0.417581150704116,1,0.496026702847219,0.786724875625905,one,1,1,0.0850915337288095,0.314548502335459,two,0.691424483938365,0.0899134091342851,0.553363932552429,0,three,0.175761499682584,1,1,two,1,0.1106090709353,1,four,0,0,0.447837596044215,0,0.167279083961959,0.775245304391105,three,1,four,two,one,0.494937267951572,0
three,1,three,0,1,three,0,0,0,0,0,three,0,three,three,0,three,0,0,0,1,three,0,1,three,0,0,1,1,0,seven,0.645830704769376,1,0,one,0.487324831578423,0.0855709910069297,1,eight,1,0,three,1,0.617404059782531,1,0,0,0.752009775842543,five,six,0.667229501752297,four,0.750176325344518,one,0.734031769853992,0,five,nine,0,0,0.221754142492513,two,three,0,two,three,0,1,0.659957450736736,1,three,one,0.483535105475631,1,0,1,1,1,1,0,1,one,two,1,two,two,0,0.764336163356258,1,two,0,0,five,0.101064695650587,1,1,one,0.046205661239295,0.207667371843271,0.988229099050965,0.217016754616012,two,0.526409950807346,0.0903154441216438,0.212985437698718,six,0.159724198467575,four,1,four,0.831862769644387,0.503770253245812,0.815425819524124,two,0.260001355782442,0,0.0677462841307215,six,1,three,0.638759366586346,seven,three,six,three,three,0,1,0.65501414381738,one,0,0,0.0230782197787253,1,0.108470236239434,0.494880880651333,five,two,0.0104454677620908,three,two,three,0.822989049588159,0,1,1,0,0.990725811116285,0.499404654533125,two,three,seven,0,0,two,0,0.199904904602714,three,0,six,0.516529895283605,six,four,one,0.0131130669669431,eight,four,five,0,0.543066452968101,1,seven,three,1,0.148042424051083,five,three,seven,0.416477882298459,two,0.413847791500353,five,0.17738828520751,two,0.255856009615423,0.0836380052438154,three,three,0,0.0161971653815175,1,0,three,one,0,0,0.661768032995751,1,1,0.854539461002905,four,0.987990503654138,0,one,four,five,0.107746552284036,0.485342447080918,two,one,1,1,1,0,nine,0,five,0.170368322819986,1,0.249966776229169,0.754937260483896,1,three,0.65062909927916,0,two,1,three,1,1,0.43689792051144,0.84488731639188,0.671224253325042,0.0129254320391989,0.930023046660975,0,1,0,two,five,five,0.0609319180502131,0.733370142659527,0.636235331972232,0.550560755093883,four,two,0.922494897184729,0,0.888114319055766,1,0,1,0.83747640485816,0.42746388755866,0.300480270658427,1,five,0,0.68458835810978,1,0,1,0.162835743555747,0.625621223644067,0,0.745843773625555,0.997086967557674,four,1,0,0.918809849313414,0.030805435795455,two,0.455840234963758,0.403156120406596,0.173693112402035,0,one,0.529745679350129,0,0,three,0,0.608352697518267,0,four,1,1,0.741916643537789,0,0.047104491288338,0.724233166788668,two,1,one,two,one,0.683715896099742,0
three,1,three,0,1,three,0,0,0,0,0,three,0,three,three,0,three,0,0,0,1,three,0,1,three,0,0,1,1,0,one,0.618842510625026,0,0,one,0.77261784908699,0.99040079913485,0,five,0,1,five,0,0.924325547172886,0,0,0,0.335110766174053,four,two,0.0832992817037959,one,0.93864277989949,one,0.520220918746643,0,four,nine,0,1,0.405856625506287,one,one,0,nine,one,1,1,0.272513758165259,1,four,two,0.726015873448333,1,1,1,1,0,1,0,0,two,four,1,three,four,0,0.133789926399965,0,one,0,1,two,0.597180983172354,0,1,four,0.454676663352474,0.710936184051409,0.637228088558393,0.577751992634686,five,0.577765732439052,0.308451513857226,0.0590555139259046,three,0.0894815800158318,four,1,four,0.374451175644512,0.311595178166118,0.389403691338739,three,0.719745660708663,1,0.729080940100274,seven,0,three,0.373960522128001,six,one,seven,two,two,1,1,0.00398890355356285,one,1,0,0.881292482937614,1,0.337542957958073,0.0924087333802071,four,three,0.955338427727485,three,three,four,0.972392759355638,0,1,1,0,0.091564315891561,0.933797636367743,one,three,four,0,1,three,0,0.643341037581981,seven,0,four,0.0762530622918099,seven,two,eight,0.448806409011935,five,two,five,1,0.915404648507788,1,four,one,1,0.872401549133559,five,two,seven,0.896667180682609,three,0.122526500531458,two,0.857178342664412,eight,0.289723618273233,0.360757796053306,two,four,1,0.114350146384388,0,0,seven,three,0,1,0.910876847939985,1,0,0.738057277245427,six,0.952541416490128,1,four,two,one,0.832591497733107,0.557703040927992,one,two,0,0,0,0,two,1,five,0.322842631711279,0,0.302395483320757,0.134031283013858,0,six,0.0872711955099237,1,six,0,three,0,0,0.160010502948371,0.664721391157878,0.0687890622877689,0.760831310475148,0.253726767605768,1,1,0,two,four,three,0.740450545861613,0.994073601195867,0.552464024603905,0.739937445051442,one,four,0.537131353421368,0,0.411874574145023,1,0,0,0.0731086711079323,0.611551931393677,0.454876854000676,0,one,0,0.806552795775977,0,0,1,0.190589465270207,0.652259606131824,1,0.45099891091593,0.0323762035559333,eight,0,0,0.567732346032602,0.315640895254366,one,0.876832556214399,0.526866264114667,0.289310863634536,1,one,0.625154591601147,1,0,two,1,0.669993206991431,0,two,1,1,0.799284063704109,1,0.66696692802803,0.563842795977222,three,1,eight,seven,one,0.32519480293067,0
three,1,three,0,1,three,0,0,0,0,0,three,0,three,three,0,three,0,0,0,1,three,0,1,three,0,0,1,1,0,one,0.867596947731675,0,1,three,0.212681873436072,0.68211152829917,0,seven,1,0,seven,0,0.393317951967446,1,0,1,0.577633415069433,three,one,0.212294247322903,two,0.498869854649328,three,0.584211435311143,1,three,nine,0,1,0.96114721440906,one,four,0,one,three,1,1,0.625343962271186,0,four,one,0.956717621356333,1,0,1,0,0,1,0,0,one,four,0,one,one,1,0.683497917500352,1,six,0,0,four,0.372607711148845,1,1,four,0.415018365015289,0.844594889706328,0.776098714077793,0.404022848727899,four,0.28254114685546,0.568757369829218,0.117637295224709,six,0.0728945493844133,five,0,three,0.991515599985589,0.159733299191679,0.359296545501901,five,0.738001773285107,1,0.943644055013825,four,0,four,0.883815286537121,one,one,two,four,three,0,1,0.517768823046785,three,1,1,0.665891589305642,0,0.834501493076607,0.579239957218714,four,two,0.297341708290866,three,two,one,0.392160565809032,0,1,1,1,0.606098763756821,0.624535149298422,four,five,two,1,0,seven,1,0.669345501084868,three,1,five,0.261364883747732,four,one,eight,0.662002164593173,two,three,five,0,0.340546873193533,0,three,one,1,0.264940195857691,one,three,two,0.176998209966218,four,0.415662684063061,seven,0.331423188258161,six,0.936034832461186,0.944613211498848,one,three,1,0.696456706299916,0,1,six,six,0,0,0.200519534483121,0,0,0.902798766694226,four,0.524854130119339,0,one,one,one,0.243706722355053,0.152189308771125,two,two,1,0,0,1,three,1,three,0.177184515304681,0,0.289659266720942,0.433873495787407,1,two,0.86269722277066,1,six,1,eight,1,1,0.736602122335513,0.573694186056077,0.0195717888461828,0.202091520444736,0.753728132510034,1,0,1,two,five,nine,0.247950994762098,0.24082819296961,0.65732112869832,0.884734092730851,four,five,0.113807031451785,0,0.228921247028941,0,1,1,0.706532724047821,0.0717933145753629,0.302736987119261,1,two,0,0.491533525264797,0,0,1,0.125103102463942,0.129729500176231,1,0.668893664411922,0.960334101557058,eight,1,1,0.768731598423786,0.7221425816646,three,0.929818211852744,0.390763650068174,0.315570570996839,0,three,0.177681212132428,0,1,one,0,0.126001093345267,0,four,1,1,0.627531377979282,1,0.899138557700418,0.850310384593943,two,1,six,six,four,0.0882573106301938,1
three,1,three,0,1,three,0,0,0,0,0,three,0,three,three,0,three,0,0,0,1,three,0,1,three,0,0,1,1,0,seven,0.569252130056401,1,1,four,0.471330209112749,0.495352735239793,1,eight,1,0,seven,1,0.809605719746717,1,0,0,0.647939470282361,five,one,0.291970356772054,four,0.0180045834354666,two,0.464676660287223,0,five,two,0,1,0.327331666289706,one,two,0,eight,one,1,0,0.694732140109383,0,three,one,0.576501888401855,1,1,1,1,0,1,0,0,three,one,0,five,three,1,0.601587298706909,0,one,0,0,two,0.179313118754337,1,1,two,0.292138696903048,0.455203640927746,0.482176845249152,0.220799069910722,three,0.886719529646043,0.659729459386269,0.706724053575459,one,0.303960808132567,one,0,four,0.158702865026743,0.309434979337175,0.399592660735531,five,0.00449342122940322,0,0.315012728514327,two,1,four,0.218739403155899,one,one,seven,three,two,0,1,0.0781376168343428,three,0,1,0.295528852329113,0,0.784617633278762,0.460673470617278,six,two,0.313719191982907,four,one,one,0.397433040835249,1,1,0,1,0.853075000146659,0.927791843708348,three,four,five,0,0,seven,0,0.292160416823229,four,1,one,0.683054663986585,two,three,six,0.501241817238376,seven,seven,six,0,0.765896519356933,0,six,one,1,0.937056373048374,four,four,five,0.2227433917327,two,0.0759701253857969,two,0.594078549549533,five,0.388073322359966,0.447258439027681,five,seven,1,0.461740174058511,1,1,one,six,1,0,0.766469024358057,1,0,0.141683526098751,two,0.776417704420175,1,one,one,five,0.908376907985504,0.0132429995683113,three,seven,0,0,0,1,seven,1,three,0.267554179261401,0,0.638075649606165,0.477692548646015,0,one,0.821808731259773,1,five,0,five,1,1,0.609599328561991,0.526420703120864,0.253965157689679,0.531842991560523,0.899141879804456,1,1,1,two,seven,three,0.538970353989261,0.720708228007857,0.0820291083335737,0.618132220830157,one,three,0.469482079156956,1,0.695522050594453,1,0,0,0.640808975985985,0.467270579175373,0.286692660621348,0,seven,0,0.0887809733005063,1,0,1,0.443102867093888,0.767211248830608,0,0.625240507112354,0.484873190331086,eight,1,1,0.271905718380773,0.138543396267433,three,0.804840478110934,0.677030268004512,0.555584047305717,1,one,0.574769024535763,0,0,four,1,0.605964463197635,1,two,0,0,0.506378833148004,0,0.551708999222212,0.010415688372578,one,0,three,six,four,0.567519377642664,0
three,1,three,0,1,three,0,0,0,0,0,three,0,three,three,0,three,0,0,0,1,three,0,1,three,0,0,1,1,0,seven,0.449537067001084,0,0,four,0.30474223859692,0.0547823498228436,0,four,1,1,seven,0,0.594410800838638,1,1,1,0.078411787565337,one,six,0.0959821408327445,one,0.909036223319555,one,0.777888071608278,0,five,six,1,1,0.0775252968639385,one,two,0,six,two,0,0,0.850028220681341,0,three,one,0.854203826411225,0,0,1,0,1,1,1,1,two,two,0,five,two,1,0.217581821964859,1,six,1,0,three,0.883642479707647,0,0,one,0.063755905446415,0.18744353718319,0.189495329559412,0.546236881084757,three,0.523000696691051,0.396837283115609,0.979943779774494,three,0.645073139906515,three,0,two,0.732908449089274,0.156744900909514,0.77965962012425,five,0.711240190868434,1,0.836410913334952,three,0,five,0.709046540186429,eight,three,five,three,one,0,0,0.144109790037056,six,1,1,0.560323595766067,0,0.586680326867648,0.179190960238512,six,two,0.736367868174263,five,two,three,0.993941730833791,1,0,1,1,0.335691748490865,0.98121329848979,two,four,one,1,1,one,1,0.270667731917939,six,1,four,0.195865005371129,three,one,five,0.600864843350781,one,four,six,0,0.729652037722253,0,seven,three,1,0.229904475325201,one,three,four,0.775095372156351,six,0.462773712611721,one,0.329659751796964,nine,0.456506544124468,0.635758527549543,seven,five,0,0.913535758920656,1,0,five,three,1,0,0.836565449817796,1,1,0.258273630791746,four,0.697497514759308,0,five,three,four,0.726995345011922,0.404287889171731,four,seven,1,0,1,0,seven,1,two,0.0266171252488304,0,0.0236861835678295,0.316872363257398,1,one,0.450638070236584,0,two,1,seven,1,0,0.609362671533152,0.0655404406581592,0.66006615843203,0.145977134079082,0.490606654163995,0,0,1,two,four,eight,0.135649035153667,0.727371328940566,0.541517773705131,0.369379766583665,four,three,0.489712472121261,1,0.104533599111841,0,0,0,0.718702164875478,0.561468764131841,0.0759035131722281,0,six,1,0.586204839524171,1,0,0,0.216973592991448,0.207597453638284,1,0.0845799347912818,0.652847658307051,three,1,1,0.132636070806216,0.49639827135015,one,0.743175628154784,0.585190242385126,0.600927733474917,0,one,0.611510885409787,1,0,four,0,0.311176682506232,1,two,1,0,0.288443451198785,1,0.844642242663973,0.746936717396645,three,0,five,two,three,0.317381751802095,0
three,1,three,0,1,three,0,0,0,0,0,three,0,three,three,0,three,0,0,0,1,three,0,1,three,0,0,1,1,0,six,0.150991483770337,1,1,four,0.499846827523624,0.722366730289558,0,six,0,1,two,0,0.727652872024008,0,1,0,0.956989350288353,two,three,0.768288519448214,four,0.0862294772740209,three,0.0117154916946428,0,four,two,1,1,0.0972530535010604,one,three,0,seven,two,1,1,0.363419093281726,0,four,three,0.347617568043652,1,0,1,1,1,1,0,0,three,three,1,three,two,0,0.672715737567266,0,five,0,1,five,0.368486766705758,0,0,one,0.501486163357865,0.307301852513784,0.3519751174828,0.149742832814081,two,0.116757151386323,0.174108301072949,0.832870639216559,four,0.811925782806073,two,0,two,0.221829819065141,0.668426704029123,0.679919587808795,four,0.835235016233635,1,0.325291861355644,four,1,five,0.120357426355244,two,five,six,one,one,0,1,0.262409155185769,three,1,0,0.790546478710985,1,0.995410826724146,0.709712074721634,six,three,0.186086772666813,three,one,two,0.314538392613503,0,0,1,1,0.888107912440948,0.966083044111345,four,three,one,0,1,one,1,0.671103392826591,four,1,two,0.0439045246089497,two,three,six,0.116294815615844,two,two,five,0,0.0633054107331118,0,seven,one,1,0.260182642322546,five,two,six,0.517711889389228,seven,0.606725757038017,one,0.437897701677402,three,0.315549070860631,0.972201561990772,six,two,1,0.500993522133146,1,0,seven,one,0,0,0.18025278912666,1,0,0.591499877083616,six,0.09430317893093,0,three,three,five,0.0429449789297598,0.924229942761934,one,two,1,0,0,1,three,0,two,0.816851277399198,1,0.906834871927713,0.103757959320892,0,three,0.225809292908473,0,four,1,five,0,1,0.685148981948899,0.505419449294185,0.824856143148221,0.135750232989254,0.345129861453608,1,0,0,one,one,nine,0.473172827120644,0.978714848479403,0.10506727648018,0.308086251495211,three,two,0.151148601116042,0,0.676145258647567,0,0,1,0.245973959354697,0.955150116350143,0.397326400794265,0,five,0,0.756774853247412,0,0,0,0.764118829616372,0.550649762356045,0,0.857488791201244,0.364376341366875,four,0,0,0.522920131497622,0.632468088846884,one,0.240355960503511,0.822079310354637,0.46810122322987,0,one,0.713284702286094,1,1,two,0,0.93040741968053,0,one,1,0,0.63510370575511,0,0.278542596972075,0.455735449811069,two,0,one,four,two,0.0498472478672849,0
three,1,three,0,1,three,0,0,0,0,0,three,0,three,three,0,three,0,0,0,1,three,0,1,three,0,0,1,1,0,four,0.153308942200376,0,0,two,0.430546077531265,0.714047030575086,1,eight,0,1,one,0,0.768462690764249,1,1,0,0.234659525090242,six,one,0.520130763536309,one,0.202026507567355,four,0.876540532328643,0,five,four,0,1,0.919893363947749,one,one,1,six,two,0,0,0.685431323874518,0,one,three,0.521513562599944,0,0,1,0,1,1,0,0,one,one,1,four,three,0,0.937323272493798,0,two,1,1,four,0.851358010897944,1,1,one,0.534852291065185,0.939191605701941,0.853803606500921,0.300308180058583,four,0.988944802228242,0.938001783510884,0.358137903026782,nine,0.766570869069319,five,1,two,0.894785155929606,0.757366593996561,0.209352254023503,seven,0.601015929636656,0,0.818502463589166,two,0,four,0.159851610087242,one,six,four,four,three,0,1,0.488814043744341,five,0,1,0.306543528058312,0,0.257169140204736,0.104956416526956,six,three,0.657085460353726,two,two,four,0.656204848991739,0,1,0,1,0.679435479053887,0.682247191137879,five,five,seven,1,1,one,1,0.0429544219902966,eight,1,six,0.902319022166694,eight,four,eight,0.0911996112745598,four,three,three,1,0.107781397109573,1,six,three,1,0.61584170747486,five,four,seven,0.204092922777348,three,0.147699846145189,three,0.455833038786507,four,0.919722336698694,0.284060047497017,seven,three,1,0.227585838738179,1,1,seven,four,0,1,0.74414709157161,0,0,0.746713681209942,three,0.799315884819099,0,one,three,three,0.447274984356379,0.690134331524358,three,six,0,0,1,0,four,1,five,0.064707064201865,0,0.741308755946853,0.997547148345833,1,three,0.0846608589493768,1,three,1,four,1,1,0.399146427300549,0.329173248249684,0.0298908346562941,0.274806507275228,0.80034964544543,1,0,1,one,six,four,0.587823926928939,0.963009239050154,0.941272776523785,0.311761353899539,one,two,0.0312067908242202,0,0.723212600836086,0,1,0,0.875894484752764,0.730620777422145,0.353988994650972,0,eight,0,0.343800127040503,1,0,1,0.798539871868653,0.998298817641408,1,0.349140296989681,0.128701212665178,nine,1,0,0.312230380062751,0.129005584777396,three,0.749757982978109,0.732758604573915,0.408832249800506,1,one,0.862627236446908,0,1,one,0,0.266867509533751,1,one,1,0,0.049737444666039,0,0.1194909189824,0.590930122128199,two,1,two,five,four,0.578060267262738,0
