cdata12,ndata34,cdata96,bdata33,cdata72,cdata27,ndata14,cdata25,bdata49,cdata40,cdata49,ndata92,ndata36,bdata84,ndata30,ndata86,ndata16,bdata11,cdata32,cdata92,bdata80,ndata98,cdata45,cdata11,cdata69,cdata44,bdata12,cdata17,cdata24,cdata75,ndata73,cdata57,ndata49,bdata68,bdata54,cdata95,cdata47,cdata65,cdata6,cdata56,ndata3,ndata61,bdata83,bdata40,bdata44,bdata48,cdata60,bdata38,cdata15,ndata12,cdata77,cdata37,cdata97,bdata57,cdata73,bdata21,cdata54,bdata61,cdata1,cdata20,cdata31,ndata74,cdata82,cdata43,cdata68,bdata74,bdata46,ndata54,cdata30,bdata59,bdata87,bdata85,ndata2,cdata13,ndata15,ndata67,bdata7,ndata13,ndata27,bdata19,ndata42,bdata36,cdata4,cdata61,cdata62,ndata44,bdata9,cdata18,ndata76,cdata41,bdata14,cdata100,cdata16,bdata47,cdata9,ndata19,bdata77,ndata88,ndata59,bdata13,ndata80,bdata29,ndata37,ndata50,ndata97,bdata56,bdata6,bdata1,cdata55,ndata4,bdata92,bdata60,cdata34,cdata33,cdata79,ndata84,bdata81,bdata45,bdata64,cdata91,ndata65,bdata55,ndata82,bdata63,ndata91,ndata41,cdata80,bdata25,cdata93,bdata34,ndata38,ndata95,ndata29,ndata8,cdata66,bdata22,bdata72,cdata74,ndata60,bdata91,bdata97,bdata24,cdata10,cdata50,ndata32,cdata85,cdata46,ndata20,cdata83,ndata26,bdata16,ndata93,cdata71,cdata58,ndata31,cdata67,bdata73,bdata58,bdata2,bdata51,ndata35,bdata89,bdata66,ndata64,ndata75,cdata35,ndata51,ndata9,cdata63,ndata24,bdata4,ndata72,ndata23,bdata15,bdata31,ndata18,ndata70,cdata64,ndata63,ndata87,cdata5,ndata46,cdata81,ndata22,ndata52,bdata98,cdata7,ndata53,bdata43,bdata32,bdata35,ndata94,cdata2,ndata78,bdata88,bdata90,ndata10,cdata28,bdata37,ndata25,cdata22,cdata70,bdata95,bdata10,bdata8,cdata26,cdata98,cdata23,cdata39,cdata51,cdata8,ndata56,cdata29,ndata81,bdata39,ndata47,bdata41,bdata65,bdata78,ndata77,cdata94,ndata48,cdata76,ndata69,bdata27,ndata55,cdata21,cdata90,ndata83,bdata69,ndata7,bdata75,bdata50,bdata86,cdata89,ndata71,ndata68,ndata66,ndata62,cdata36,bdata20,cdata99,cdata52,ndata79,bdata71,ndata58,cdata88,bdata94,ndata1,cdata78,bdata79,cdata87,bdata70,ndata33,bdata5,ndata85,ndata43,bdata18,cdata38,ndata99,ndata39,ndata5,ndata96,ndata6,bdata23,ndata90,bdata53,ndata40,ndata17,bdata67,cdata48,cdata59,bdata93,cdata86,bdata62,cdata84,bdata76,bdata96,bdata26,bdata42,ndata28,bdata28,cdata19,bdata52,bdata82,bdata100,ndata57,cdata42,bdata17,ndata21,bdata99,ndata89,bdata30,cdata3,cdata14,cdata53,ndata11,bdata3,ndata45,ndata100
three,0,three,1,three,three,0,three,1,three,three,0,0,1,0,0,0,1,three,three,1,0,three,three,three,three,1,three,three,three,0.533958345790688,two,0.256464517746323,1,0,three,five,nine,three,two,0.837297491801087,0.447709024423089,0,1,1,1,two,0,one,0.50781943431701,four,five,two,0,two,1,two,1,one,seven,four,0.267979863645973,four,six,two,1,0,0.635488866481716,five,1,0,1,0.00300572038531999,five,0.330456187988544,0.328733701617661,1,0.230211571897437,0.117543310565428,0,0.556096786592374,1,seven,one,one,0.623404628821516,0,two,0.435787801877849,seven,1,four,three,0,three,0.950381231552488,1,0.794575090015446,0.736448206438777,1,0.68791894662321,1,0.43114129490024,0.601180632126183,0.326403723424953,0,1,0,three,0.832289435435794,0,1,one,four,two,0.386749324067478,1,0,0,two,0.824033951228977,0,0.851909077830968,1,0.938498312655072,0.540062914274971,two,0,three,0,0.636423867896637,0.855287085275732,0.431303522352077,0.327898898355466,one,0,1,five,0.383264816860755,0,1,1,two,two,0.558240574279861,one,six,0.54422589066765,one,0.192493652552057,0,0.914289297025717,four,eight,0.489915580117035,six,0,0,0,1,0.93521611258418,0,0,0.274140158336129,0.463052683816155,five,0.142724824038785,0.564254950503006,six,0.90759313823818,1,0.10206268566548,0.204070903850458,1,0,0.709476041572979,0.978903197315522,three,0.0351314136956236,0.0482252949230083,one,0.214654137111646,one,0.742650613675267,0.70595800780196,0,one,0.715592307779295,1,0,1,0.361003075647537,three,0.817960881528604,1,0,0.107318701321844,three,1,0.930110984653906,one,seven,0,0,0,three,one,one,four,three,six,0.724533816182897,five,0.889383637280764,1,0.876998176378071,0,0,1,0.131403910479741,three,0.876212462491139,four,0.728132806922192,0,0.316128876148738,nine,three,0.44603040336875,0,0.637901304632221,0,0,0,four,0.0615657205269904,0.245197834373467,0.322601757270116,0.976583497334247,four,1,nine,six,0.032495548286286,0,0.177557538755108,eight,1,0.430617962648512,three,0,five,0,0.746403695178516,0,0.814620936565951,0.518313125482404,0,eight,0.728397701784208,0.529020013787702,0.424299912903217,0.559369138540359,0.564736382749971,0,0.334217312739356,0,0.12539663991326,0.0948879670976682,0,two,one,1,eight,1,eight,0,0,1,1,0.713246681347568,1,seven,0,0,1,0.203694591230314,four,1,0.416604510887906,0,0.849119030502845,1,four,two,three,0.709278063238906,0,0.0757762642815557,0.754026138564046
three,0,three,1,three,three,0,three,1,three,three,0,0,1,0,0,0,1,three,three,1,0,three,three,three,three,1,three,three,three,0.709304802295447,three,0.706052510542115,0,1,two,four,five,four,one,0.724173101671149,0.856830478037242,1,0,0,0,three,1,four,0.191736387049469,five,four,one,0,two,1,one,0,four,two,four,0.0431018672087325,three,three,three,0,1,0.214184264892072,three,1,1,0,0.518238606634699,two,0.689889410227413,0.171386869199844,1,0.977796318862517,0.708133099240751,1,0.848409558517287,0,five,four,four,0.730004962663622,0,two,0.66635468157741,five,0,four,two,0,three,0.0724243754328234,0,0.374129145267146,0.847862196968856,1,0.608504783198292,1,0.219434255872667,0.40086619429659,0.173789411035617,1,0,0,one,0.772401076128609,0,0,three,four,three,0.962401753053546,0,0,1,four,0.893515423131545,0,0.325392433973766,0,0.448458783964061,0.986761652703835,three,0,three,1,0.96645495420012,0.653175415546028,0.371048991766201,0.867217676217949,two,1,1,four,0.765005207656719,0,1,1,two,one,0.111518988088222,one,two,0.131892837887604,three,0.205033963636793,1,0.398145693110042,one,seven,0.757299325583678,six,0,0,0,1,0.820460505170811,0,1,0.0851777961376756,0.434752214358349,three,0.00757736023729005,0.632024941600244,four,0.331973179328319,0,0.897514268876745,0.937723334717901,0,0,0.825575975728656,0.619655774836932,eight,0.187889698172021,0.108023904830278,eight,0.598280119141648,two,0.431618557814229,0.0114935724487042,1,one,0.445662985152685,1,1,1,0.559520429817275,one,0.314657972625869,1,1,0.689135139112224,seven,1,0.583064477204693,one,six,0,0,0,three,four,six,one,four,six,0.301080855819612,one,0.247807200052086,1,0.685168707135261,1,1,1,0.385864674529302,one,0.396345837214827,one,0.94487268665561,0,0.56583553546756,eight,one,0.668774693480885,0,0.479814709634473,0,0,1,four,0.77124152149993,0.544415771775775,0.193405008203006,0.81524214078688,two,0,three,one,0.439171667749008,1,0.746602530705128,four,1,0.0841913802888773,one,0,five,0,0.224313815603804,0,0.538254335711457,0.541143253322859,0,one,0.106804385856178,0.617353056341972,0.667745958362332,0.214115468861063,0.404026395998715,0,0.105739841551694,0,0.93644711659054,0.108028973780518,1,two,one,1,four,0,seven,0,0,0,1,0.952532383602295,0,one,1,0,0,0.716506833678276,four,1,0.836422560790082,0,0.313849939722754,0,eight,five,three,0.624492971675239,0,0.108945514471396,0.737081174978865
three,0,three,1,three,three,0,three,1,three,three,0,0,1,0,0,0,1,three,three,1,0,three,three,three,three,1,three,three,three,0.318220531852012,five,0.957403514697847,1,0,eight,four,seven,one,one,0.781955681359608,0.150806601391678,0,0,1,0,three,0,two,0.088545017326197,two,one,four,0,one,0,three,1,three,one,two,0.341548523971261,two,nine,eight,1,1,0.683061055578195,two,1,0,1,0.580698807731154,two,0.379244477596783,0.988857114930252,0,0.628555731466664,0.144964939610946,1,0.774473621189329,0,three,three,two,0.973623562556613,1,two,0.0164399232924539,six,1,two,one,1,two,0.138970373521852,0,0.0862410174637117,0.254061946877652,0,0.789315760280322,0,0.669738525943733,0.157286300679331,0.179433747979515,0,0,1,one,0.506532040882821,0,1,four,four,four,0.971769635858073,0,1,0,five,0.524889408746885,0,0.729207428738152,0,0.518449156984812,0.027980833981287,one,0,four,1,0.77510399171977,0.238468569050681,0.563505678219723,0.687684934657623,three,1,0,two,0.707373034781844,1,0,1,three,one,0.911112747915374,three,two,0.401044195487648,three,0.527819285825859,0,0.507201436399919,three,one,0.879847495563939,one,1,0,0,0,0.452925613025769,1,0,0.688868643618412,0.966595113536181,one,0.685637834166222,0.0251425932185168,two,0.926870372108718,0,0.158232744477682,0.894672177869359,1,1,0.398433009131176,0.246179814459589,eight,0.0298645367844007,0.805105192054213,seven,0.319688701345333,four,0.578233368758105,0.345238850319214,1,one,0.103667965749358,1,1,0,0.953949543700639,one,0.521434142335944,0,1,0.806944545458362,four,0,0.557832846627846,seven,four,1,0,0,one,four,three,one,two,four,0.249079308622795,three,0.889612057079132,0,0.567826558563889,1,0,0,0.907775378365168,one,0.765762879209611,three,0.985764856718004,0,0.0620505314486277,one,one,0.363297642824978,0,0.28432998115974,1,1,0,three,0.517646835746037,0.209197300104832,0.754351851154872,0.232660977083987,three,0,seven,three,0.516416796394723,0,0.211935740927659,nine,1,0.797134036577098,two,1,one,1,0.942016216831378,1,0.487828617184881,0.461031502606708,0,five,0.77295307768287,0.714420349363997,0.890047421747921,0.595763817766168,0.478348154158035,1,0.25690317727209,0,0.458651534477168,0.575789369956557,1,three,one,1,nine,1,three,1,0,0,0,0.700116487265665,0,five,1,1,0,0.990874365011978,two,0,0.496818181100372,0,0.756873223432455,1,three,one,two,0.739542323854665,1,0.218033991931863,0.291618527912293
three,0,three,1,three,three,0,three,1,three,three,0,0,1,0,0,0,1,three,three,1,0,three,three,three,three,1,three,three,three,0.74358129905021,two,0.0240327977704633,1,1,eight,four,eight,two,three,0.623476822744111,0.604912715517839,1,1,0,0,one,0,four,0.357255848452789,one,two,three,1,three,0,two,1,four,two,seven,0.096234008835242,two,eight,two,1,1,0.212226792271783,four,0,1,1,0.466899096438983,one,0.791580320285302,0.951019658625567,1,0.0819634441826304,0.354195653411514,0,0.313840142924032,1,two,seven,two,0.257450230553036,1,two,0.122131669227897,two,1,four,two,1,three,0.886789432601118,0,0.335364820570814,0.603043446679466,1,0.217821010386904,1,0.572461297387539,0.226991012199075,0.981523595077106,1,1,1,five,0.893947680493875,1,0,one,two,three,0.617092518134353,1,1,1,four,0.100852410970962,1,0.865872151699945,1,0.484089834875675,0.992770817423187,two,0,five,0,0.145654660783488,0.548647538548157,0.301434385501622,0.853136833874597,one,1,0,one,0.112522661782284,1,1,0,one,three,0.867894381535523,one,four,0.441397164421781,one,0.57353255333235,1,0.205928613422348,three,seven,0.303201239507711,three,0,1,1,1,0.239072216976075,1,1,0.418396554098267,0.936942186921979,one,0.169546432360608,0.94411461113398,three,0.406521109345547,0,0.993377504715707,0.322726496885278,1,1,0.739251612675946,0.537430788049719,eight,0.0288403598811359,0.621844944759214,six,0.965752450076468,two,0.323529894178532,0.43742500928759,0,four,0.95161658775749,1,1,1,0.511028485228334,two,0.858082280605577,0,0,0.693847231030615,seven,1,0.889967460083113,four,one,1,1,1,one,two,one,three,three,one,0.842815624113535,five,0.47194991919104,1,0.948455013972416,0,0,1,0.30362272503756,one,0.574780386473005,one,0.0934717606301627,1,0.789618610642498,five,three,0.200260011550998,0,0.754668710002553,0,1,0,seven,0.985371630912256,0.312583447327619,0.765386193321772,0.767820661166182,four,0,two,one,0.112722254872892,1,0.628010294106965,seven,0,0.308481627149433,three,0,six,0,0.861230312063003,1,0.594482838797357,0.530421322928048,1,four,0.846645302467715,0.504189682199739,0.909145627515395,0.958893548116006,0.517881253468071,0,0.535105688912367,0,0.382259865440046,0.728917384671669,0,three,two,0,five,1,eight,0,1,1,1,0.507659644395199,1,four,1,0,0,0.443890987939699,two,0,0.336294227890959,0,0.134892221402146,1,nine,three,four,0.864423711383475,0,0.633562245314173,0.351836756486223
three,0,three,1,three,three,0,three,1,three,three,0,0,1,0,0,0,1,three,three,1,0,three,three,three,three,1,three,three,three,0.186072690889661,one,0.820803201585587,0,0,six,four,three,one,one,0.939184500730009,0.739422701095801,1,0,1,0,one,0,four,0.258183492992824,one,six,four,1,one,0,three,0,three,seven,seven,0.897104249893291,three,two,six,0,1,0.448019218430881,three,0,1,0,0.434541910970375,three,0.676600030408911,0.495682047487635,1,0.0399926286513581,0.950585985743765,1,0.800700962490879,0,seven,four,six,0.369022684167303,0,three,0.758861366888465,seven,0,two,two,1,two,0.103404556432049,0,0.693599108108367,0.2959059161312,0,0.727399680045115,1,0.485375390154103,0.930892100098484,0.563317990773608,1,0,0,one,0.432553996742569,0,1,two,one,one,0.218399279830869,1,0,0,four,0.506712684808912,1,0.116440762656462,0,0.977875897858418,0.203750400096524,five,0,one,1,0.356988019124729,0.241714493336733,0.0397421369050844,0.191958810127929,two,1,1,two,0.728047618098166,0,1,0,one,five,0.242277058862129,four,four,0.530031792561697,two,0.804982004380458,1,0.405573932628169,two,two,0.887114909852012,five,1,1,0,0,0.694500932420467,1,1,0.233866161245638,0.792175144871427,two,0.802332589659682,0.93058550339814,three,0.763402181909155,0,0.909401727658524,0.807889500166355,1,1,0.0154071133238056,0.386425046550822,one,0.182814822201273,0.499937156547025,seven,0.763437319463255,one,0.704128002353874,0.952412929389164,1,four,0.650823397259915,0,1,0,0.532974483480364,three,0.667048504391683,0,0,0.872100380330581,four,1,0.415022480327176,two,three,0,1,1,one,three,five,four,four,two,0.0324490794628964,one,0.241601391615594,1,0.84614741861709,1,1,1,0.940124308538904,three,0.72283384369505,seven,0.766731741426591,1,0.446522339991092,three,four,0.137947895990849,1,0.394332189399331,1,0,0,two,0.484649189529463,0.874765705130071,0.0663811448552506,0.0331986512108402,four,1,four,four,0.0685223070548456,1,0.442709631102326,three,0,0.207780438247091,three,1,seven,1,0.0988746424234463,0,0.0700275800783099,0.519249535654529,0,six,0.358734216505777,0.842539311353634,0.811638328450359,0.932067126772118,0.812402067565102,0,0.913706112908253,0,0.939301339355416,0.864938157757649,0,two,three,0,five,0,three,1,1,1,0,0.3022907930106,0,six,0,0,0,0.672550145196603,one,1,0.0558684376311493,0,0.153120198902861,0,one,one,four,0.366057875327973,0,0.757179643616435,0.984607340066467
three,0,three,1,three,three,0,three,1,three,three,0,0,1,0,0,0,1,three,three,1,0,three,three,three,three,1,three,three,three,0.54352531791128,three,0.757924118174499,0,0,seven,three,nine,one,three,0.982633169706772,0.599905822629086,0,0,0,0,two,0,three,0.576916408954254,two,five,one,1,three,1,three,0,three,eight,four,0.546119541606281,one,six,seven,0,1,0.67789265363462,one,0,0,0,0.916550376133116,one,0.83050954070114,0.495823073487618,1,0.411176880073004,0.732589794762452,1,0.557799103921829,0,two,two,one,0.794357613448102,1,four,0.598382872944127,two,0,four,two,0,one,0.912211859101195,1,0.998708542915148,0.185346360329962,0,0.210076217835109,1,0.231721030237995,0.789129086701525,0.377483489177849,0,0,1,five,0.318433561386387,0,1,three,five,two,0.468145718001467,0,1,0,one,0.906477612294797,0,0.578518315230961,0,0.876464232976209,0.784272150969566,one,1,two,0,0.661566076949935,0.257572225133515,0.484400189834919,0.76969986244432,three,1,1,six,0.0977190538568656,0,1,0,three,three,0.844522861565919,one,two,0.903784091751244,three,0.556333600684505,0,0.398137361573802,two,four,0.924167540650449,seven,0,1,0,0,0.772232090393018,1,1,0.389359710708422,0.386845625195953,one,0.444486157485849,0.908419125555524,three,0.0904611191205518,1,0.883976485573862,0.128625523460282,0,1,0.596587856318495,0.756528053925151,two,0.641513790985122,0.974574508412586,eight,0.2037850255982,four,0.385359008009677,0.0369088815742324,0,three,0.398532691029602,0,0,1,0.876983158432359,one,0.120480405498098,0,0,0.847067784103374,three,1,0.743611024763089,three,seven,0,0,1,three,three,one,two,four,four,0.423894263602788,three,0.293521780243031,0,0.166589449192844,0,1,1,0.396770102177247,two,0.382285891909082,one,0.205684140767484,0,0.918265306323097,three,five,0.551127715427952,0,0.798454845459082,0,0,0,six,0.741938623676831,0.085604783656114,0.0916248389426123,0.635280908020233,four,0,seven,five,0.406983900531248,1,0.928693670690995,five,1,0.828497648620541,three,1,two,0,0.0736450551421108,1,0.940868029518268,0.554720479752892,0,six,0.847856298666813,0.941194965793093,0.846952790177345,0.571944448499836,0.178220985160537,0,0.327708709145164,0,0.623174729867592,0.965727995205535,1,three,two,0,one,0,nine,1,1,0,1,0.847462423157862,0,four,0,1,0,0.175457472223285,two,1,0.839812827622064,1,0.886131808319381,0,four,eight,two,0.548292559600306,0,0.894357631253493,0.963491285098877
three,0,three,1,three,three,0,three,1,three,three,0,0,1,0,0,0,1,three,three,1,0,three,three,three,three,1,three,three,three,0.288376294518974,three,0.0332794361745137,0,1,three,four,two,four,one,0.393449554947054,0.463529428071631,1,0,1,1,three,0,four,0.314929124596797,five,two,three,1,three,1,two,0,one,seven,three,0.588260860066921,three,seven,four,0,0,0.541850090643789,three,1,1,0,0.537383665361799,four,0.157496301494952,0.657373293413912,0,0.838889028101879,0.0824264579035232,1,0.74991487122795,0,three,five,one,0.25590387591641,1,four,0.0928305075583103,four,0,two,one,0,one,0.45629869162516,1,0.859771972107461,0.184561162484296,1,0.821848459506713,0,0.550578288475264,0.782297675230183,0.123511767359219,0,0,1,three,0.232577940321127,0,1,two,four,two,0.447470339604127,1,1,1,four,0.40826172333215,1,0.741364557493092,1,0.404510958838032,0.23742339413257,four,0,two,1,0.114235019106711,0.108756431214945,0.523127428248045,0.917445667272029,two,1,0,two,0.659507866415049,0,0,1,three,two,0.546202845597649,four,five,0.162068536053467,two,0.892889570981072,1,0.153162332013148,three,seven,0.612306392093902,four,1,0,1,0,0.83774158621378,0,1,0.655774494748192,0.204220418025196,five,0.154754345441812,0.704665070087664,one,0.346109695958773,0,0.618653572551855,0.308280314428161,0,0,0.0208632962861992,0.586439077795144,five,0.904299125589924,0.332777109066986,two,0.76120183234119,two,0.241392419356967,0.645326699833438,1,one,0.135458008901177,1,0,0,0.62917372241236,two,0.96036297045633,0,1,0.3174776506313,one,1,0.94812974335455,five,seven,1,0,0,two,two,one,four,two,two,0.506459348905877,four,0.895691747712795,1,0.53667677304317,0,1,1,0.146899245798404,one,0.131272073252832,seven,0.619822563488481,1,0.881784527430473,seven,two,0.62040067047345,1,0.657808823956841,0,1,0,three,0.696190475593023,0.822479069660018,0.269823184971017,0.110351037405661,four,1,seven,one,0.334164757945521,0,0.819361206715659,nine,0,0.55501838605762,one,1,seven,1,0.87272790704885,1,0.629158809327047,0.461458749275945,0,eight,0.567328246474123,0.716796840065134,0.210213602582619,0.73901113860549,0.699024315849221,0,0.667115120902698,0,0.645266261914804,0.582168849854346,0,three,two,1,two,0,three,0,0,1,0,0.445203093296698,1,one,1,1,0,0.370507202800823,three,1,0.84944143305497,1,0.212895010233388,1,nine,four,four,0.640476346010581,1,0.335629610355153,0.649833281760381
three,0,three,1,three,three,0,three,1,three,three,0,0,1,0,0,0,1,three,three,1,0,three,three,three,three,1,three,three,three,0.0522352577845312,two,0.511230347947029,0,0,three,five,one,three,three,0.696809329328841,0.553419669210029,0,1,0,0,four,0,one,0.24520848448514,two,four,one,0,one,0,three,1,four,nine,eight,0.825571971538328,two,eight,two,0,0,0.701843847654962,four,1,0,1,0.896588380715017,four,0.228229895070755,0.540355534480084,0,0.771668073969628,0.166212146498074,0,0.429946076349356,1,three,three,seven,0.280137399423365,1,three,0.828654095158432,seven,1,two,three,0,one,0.0810103423963595,1,0.449736383745396,0.113437282882939,1,0.372470389192505,0,0.0713225829735591,0.327968410667611,0.715935089967279,0,0,0,five,0.977049745949117,1,1,four,three,four,0.670215873731055,0,0,1,three,0.115927836243171,0,0.557426021518026,0,0.694014191578772,0.285612603925244,one,0,three,1,0.139896098021123,0.671324295768778,0.954718757025873,0.194843672930502,two,1,1,two,0.70893071037177,0,0,1,two,three,0.149328861006006,four,four,0.686768702409284,one,0.18395272448411,0,0.0896230474799706,three,three,0.940246139533702,four,0,0,1,0,0.995886690192087,0,1,0.696791424731594,0.823435010712137,five,0.726101073853364,0.758596544486241,one,0.375552442143899,0,0.779929329263227,0.417971292179424,0,1,0.620648962283514,0.353460821059085,seven,0.64137726382493,0.790270005286834,seven,0.454642286914423,three,0.033198790742098,0.283883296509039,1,four,0.754037309039687,0,1,0,0.548413236864953,one,0.940172203998423,1,1,0.732225185692115,nine,1,0.94097208296008,eight,one,0,0,0,two,one,three,three,five,three,0.49308611905681,three,0.999356427273056,1,0.458477000434339,1,0,0,0.879371267573146,one,0.837893720167125,seven,0.780738853585742,0,0.454465795677653,seven,three,0.874192802065634,0,0.174812232031733,0,0,0,one,0.36920113669134,0.473161163662915,0.894268266487991,0.995252199770417,one,1,five,five,0.974339032307363,0,0.554993681914121,four,0,0.394198776355732,one,0,four,1,0.74547522550214,1,0.315565651202484,0.581335732385319,0,three,0.701082187517991,0.398305756052059,0.613150322693583,0.255683790585625,0.653104867233296,1,0.304782205233629,0,0.348266101278324,0.0279979711956482,0,three,two,0,nine,1,four,1,1,0,0,0.298434958158538,1,four,0,1,1,0.0247749065727195,three,0,0.360576138707799,0,0.700375438792907,0,three,seven,four,0.175513699313167,1,0.732106019092864,0.591901946772314
three,0,three,1,three,three,0,three,1,three,three,0,0,1,0,0,0,1,three,three,1,0,three,three,three,three,1,three,three,three,0.106387357753754,two,0.296107725867533,1,1,one,three,three,three,two,0.842338951331273,0.634520043435938,0,0,0,0,five,1,four,0.912062085590419,four,two,four,0,two,1,three,0,three,two,six,0.120717070453332,one,one,six,1,0,0.693193294376516,one,0,1,1,0.796960122068055,six,0.590944972627708,0.712128421852706,0,0.356483173027518,0.853037060435693,0,0.450376132998038,0,seven,two,two,0.998690800484637,0,one,0.688199280728977,eight,1,three,three,1,one,0.96177677432187,0,0.555783093414947,0.6933498480349,1,0.0195244175705619,1,0.948581801375695,0.635226679925068,0.175325582522243,1,0,1,two,0.861443504597587,1,0,four,one,three,0.591621253015861,0,1,0,four,0.703232686211814,1,0.677333461133637,0,0.407887094330854,0.0156042538274697,one,0,one,0,0.647619725678385,0.437129504565751,0.222103037408926,0.981353610326227,three,1,1,four,0.441409445793225,1,1,1,three,three,0.848042190464718,three,five,0.364985775062873,one,0.946791208799643,0,0.580053035426978,four,one,0.358150743318487,three,0,0,0,0,0.0387633492084276,0,1,0.610291379715949,0.0450987311253419,four,0.719517720604441,0.0830319729146209,two,0.447279761120472,1,0.81388964633995,0.16561362564868,0,1,0.350856370759332,0.618577552833083,six,0.417051370874527,0.348994560683909,two,0.243223292870691,four,0.0471389550224066,0.973154602443624,0,two,0.0748836037551982,1,1,0,0.999015606574094,three,0.282413709481263,1,0,0.654381542628342,seven,1,0.182789305940363,six,six,0,0,1,two,one,one,four,five,three,0.00938810021619862,four,0.388349381973416,1,0.55093623355535,1,1,1,0.885306596309206,three,0.182123434411027,three,0.793534990215539,1,0.832425911571916,five,three,0.94704673408336,0,0.454386512961564,1,0,1,four,0.779940763911979,0.298035387120874,0.127135185766844,0.724175243786107,one,0,seven,eight,0.816131056976919,0,0.253190248966302,one,1,0.333367931367274,four,0,six,1,0.370395049344301,0,0.558174724516619,0.913491392357456,1,one,0.062047539401597,0.327415127204313,0.301162005967771,0.796809365134151,0.836403428379856,0,0.330513457752492,1,0.307957955279476,0.32012826736985,0,one,five,0,six,1,two,1,1,0,0,0.359431878452741,0,two,0,1,1,0.960072030218181,three,0,0.634174783048526,1,0.251626140138323,0,three,four,one,0.850924905470889,1,0.58930233109385,0.531676878143747
three,0,three,1,three,three,0,three,1,three,three,0,0,1,0,0,0,1,three,three,1,0,three,three,three,three,1,three,three,three,0.528910146775024,one,0.483823056902948,0,0,seven,three,one,four,two,0.0759539668741309,0.697640272079085,1,1,1,1,one,1,one,0.162855564683489,two,two,four,1,one,0,three,1,three,six,six,0.194452606465585,four,seven,one,1,0,0.200370508565048,two,1,1,0,0.867072196964975,two,0.202816937776267,0.0746692496533066,1,0.368974020516035,0.395139046193022,1,0.119945501709364,1,seven,four,four,0.691932952976207,1,three,0.356402759504184,five,0,three,four,1,one,0.805825202158176,1,0.174368463141761,0.441983039651715,0,0.0653257970025377,1,0.976735412352902,0.653011068219395,0.535763041750871,1,0,1,four,0.981716602712799,1,1,two,seven,four,0.877196413242232,1,0,0,one,0.83200852907847,0,0.396791337217034,1,0.850267468709439,0.388825288770313,four,1,five,1,0.186740148828141,0.931228270441573,0.58476908736792,0.496662291292493,one,1,0,four,0.894789093822818,1,1,1,two,five,0.975192191955566,one,two,0.0354042379569318,three,0.826659136035986,1,0.137251414614257,two,seven,0.409841141218413,three,0,1,1,1,0.816393166353453,0,1,0.650009302900147,0.337189631151483,four,0.623280695184771,0.297225716883244,six,0.959761455289233,0,0.92352041379217,0.636192904566303,0,0,0.343288491360878,0.114855991075361,one,0.428591737208606,0.710767415406413,six,0.54781686100422,one,0.130516843054123,0.703445944096091,1,four,0.494999503060358,1,1,1,0.911956664891679,one,0.674841447147223,0,0,0.447616206990582,one,1,0.141605311056792,eight,two,1,0,0,three,four,four,three,four,six,0.756202637422982,two,0.441925915358542,1,0.829821857588667,1,1,0,0.235158132716034,one,0.299202814248772,one,0.954653679397845,0,0.936849153993428,eight,one,0.533484757086284,1,0.905359693279934,1,1,0,six,0.211289668922692,0.943765594074361,0.664760263683823,0.98264631585024,four,1,nine,one,0.148896781976037,1,0.481187282865278,three,0,0.205864616632796,three,0,three,1,0.255392910664565,1,0.00128808687015924,0.229415308256795,1,three,0.0199451260733672,0.24225698761273,0.953985172107902,0.548846819534765,0.576823312487279,1,0.157218297510955,0,0.185288658221374,0.214618565008299,0,one,one,0,three,1,five,0,0,1,0,0.836711819533973,0,two,0,0,1,0.967255873912996,two,0,0.54682425132821,1,0.671061763192198,0,nine,four,one,0.175009199007932,0,0.376527528696347,0.658991307581734
